id	isolate	aliases	country	continent	region_of_isolation	country_of_patient	continent_of_patient	species	year	host	spoligotype	clonal_complex	lineage	sublineage	genome_status	data_source	ENA_accession	rMLST_database_accession	comments	sender	curator	date_entered	datestamp
14815	HCMC1337		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073976			8	8	2020-01-09	2020-01-09
14816	HCMC1091		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073982			8	8	2020-01-09	2020-01-09
14817	HCMC1072		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073983			8	8	2020-01-09	2020-01-09
14818	HCMC1338		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073984			8	8	2020-01-09	2020-01-09
14819	HCMC1369		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073985			8	8	2020-01-09	2020-01-09
14820	HCMC1157		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073986			8	8	2020-01-09	2020-01-09
14821	HCMC1106		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073990			8	8	2020-01-09	2020-01-09
14822	HCMC1286		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073992			8	8	2020-01-09	2020-01-09
14823	HCMC1049		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073994			8	8	2020-01-09	2020-01-09
14824	HCMC1319		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073996			8	8	2020-01-09	2020-01-09
14825	HCMC1110		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5073997			8	8	2020-01-09	2020-01-09
14826	HCMC1180		Vietnam	Asia				Mycobacterium tuberculosis	2009	Human			L2	2.2.1	draft	ENA SRA	SRR5074000			8	8	2020-01-09	2020-01-09
