id	isolate	aliases	country	continent	region_of_isolation	country_of_patient	continent_of_patient	species	year	host	spoligotype	clonal_complex	lineage	sublineage	genome_status	data_source	ENA_accession	rMLST_database_accession	comments	sender	curator	date_entered	datestamp
1	ATCC 19977	CU458896; NC_010397; PRJNA15691; PRJNA61613						Mycobacterium abscessus							finished	NCBI reference	CU458896	131	(sensu stricto) Duplicate isolate in database id = 22582	2	2	2014-12-12	2017-07-27
2	PYR-GCK	CP000656; NC_009338; PRJNA15760; PRJNA59421	USA	North America				Mycobacterium gilvum							finished	NCBI reference	CP000656	132	human commensal; previosly named M. flavescens	2	2	2014-12-12	2017-07-27
3	Br4923	FM211192; NC_011896; PRJEA31271; PRJNA59293	Brazil	South America				Mycobacterium leprae	1996						finished	NCBI reference	FM211192	133	human skin biopsy	2	2	2014-12-12	2017-07-27
4	TN	AL450380; NC_002677; PRJNA57697; PRJNA90	India	Asia				Mycobacterium leprae							finished	NCBI reference	AL450380	134		2	2	2014-12-12	2017-07-27
5	M	CP000854; NC_010612; PRJNA16725; PRJNA59423	USA	North America				Mycobacterium marinum	1992						finished	NCBI reference	CP000854	135	preiously named M. balnei	2	2	2014-12-12	2017-08-16
6	MC2 155	CP000480; NC_008596; PRJNA57701; PRJNA92	USA	North America				Mycobacterium smegmatis	1990						finished	NCBI reference	CP000480	136	human commensal	2	2	2014-12-12	2017-07-27
7	MCS	CP000384; NC_008146; PRJNA15762; PRJNA58465	USA	North America				Mycobacterium sp.							finished	NCBI reference	CP000384	137	environmental (soil); non-pathogenic	2	2	2014-12-12	2017-07-27
8	JLS	CP000580; NC_009077; PRJNA16079; PRJNA58489	USA	North America				Mycobacterium sp.							finished	NCBI reference	CP000580	138	environmental (soil); non-pathogenic	2	2	2014-12-12	2017-07-27
9	KMS	CP000518; NC_008705; PRJNA16081; PRJNA58491	USA	North America				Mycobacterium sp.							finished	NCBI reference	CP000518	139	environmental (soil); non-pathogenic	2	2	2014-12-12	2017-07-27
10	CDC1551	AE000516; NC_002755; PRJNA223; PRJNA57775	USA	North America				Mycobacterium tuberculosis	1995						finished	NCBI reference	AE000516	140		2	2	2014-12-12	2017-08-24
11	F11	CP000717; NC_009565; PRJNA15642; PRJNA58417	South Africa	Africa				Mycobacterium tuberculosis							finished	NCBI reference	CP000717	141	epidemic strain	2	2	2014-12-12	2017-08-24
12	H37Ra	CP000611; NC_009525; PRJNA18883; PRJNA58853	China	Asia				Mycobacterium tuberculosis	1934						finished	NCBI reference	CP000611	142		2	2	2014-12-12	2017-08-10
13	H37Rv	AL123456; NC_000962; PRJNA224; PRJNA57777	UK	Europe				Mycobacterium tuberculosis	1905						finished	NCBI reference	AL123456	143	L4; H37 isolated from human in 1905, H37Rv derived from that strain in 1934	2	-1	2014-12-12	2022-06-29
14	KZN 1435	CP001658; NC_012943; PRJNA21055; PRJNA59069	South Africa	Africa				Mycobacterium tuberculosis							finished	NCBI reference	CP001658	144		2	2	2014-12-12	2017-08-24
15	Agy99	CP000325; NC_008611; PRJNA16230; PRJNA62939	Ghana	Africa				Mycobacterium ulcerans	1999						finished	NCBI reference	CP000325	145	environmental, aquatic ecosystems; human pathogen	2	-1	2014-12-12	2022-06-29
16	PYR-1	CP000511; NC_008726; PRJNA15761; PRJNA58463	USA	North America				Mycobacterium vanbaalenii	1986						finished	NCBI reference	CP000511	146	sample isolated from watershed sediment; environmental; opportunistic human pathogen	2	2	2014-12-12	2017-07-27
17	104	CP000479; NC_008595; PRJNA57693; PRJNA88	USA	North America				Mycobacterium avium	1983						finished	NCBI reference	CP000479	763	AIDS patient	2	2	2014-12-12	2017-07-27
18	K-10	AE016958; NC_002944; PRJNA57699; PRJNA91	USA	North America				Mycobacterium avium	1970						finished	NCBI reference	AE016958	764	Causative agent of Johne's disease, or paratuberculosis, a chronic severe intestinal infection; source: dairy herd; paratuberculosis	2	2	2014-12-12	2017-07-27
19	AF2122/97	BX248333; NC_002945; PRJNA57695; PRJNA89	UK	Europe				Mycobacterium bovis	1997						finished	NCBI reference	BX248333	765	cattle pathogen Causative agent of bovine tuberculosis	2	2	2014-12-12	2017-08-24
20	BCGPasteur1173P2	AM408590; NC_008769; PRJEA18059; PRJNA58781	France	Europe				Mycobacterium bovis	1920						finished	NCBI reference	AM408590	766	The causal agent of bovine tuberculosis. This organism was used to produce the antigen utilized in vaccine development.	2	2	2014-12-12	2017-08-24
21	BCGTokyo172	AP010918; NC_012207; PRJDA31211; PRJNA59281	Japan	Asia				Mycobacterium bovis							finished	NCBI reference	AP010918	767	one of the daughter strains of BCG used for vaccine production (others are Danish, Glaxo, Pasteur, Moreau, Tokyo, and Russia)	2	2	2014-12-12	2017-08-24
22	ATCC 25291	ACFI01; GCA_000174035.1; PRJNA30909; PRJNA55387; SAMN02470543						Mycobacterium avium							draft	NCBI assembly		1028	isolated from hen	2	2	2014-12-12	2017-07-27
23	ATCC 13950	ABIN01; GCA_000172115.1; PRJNA27955; PRJNA55007; SAMN02470538						Mycobacterium intracellulare							draft	NCBI assembly		1029	clinical specimen	2	2	2014-12-12	2017-08-07
24	ATCC 12478	PRJNA30907; PRJNA55385						Mycobacterium kansasii							draft	NCBI reference		1030	clinical specimen	2	2	2014-12-12	2017-08-16
25	02_1987	ABLM01; GCA_000155165.1; PRJNA29167; PRJNA55097; SAMN02595225						Mycobacterium tuberculosis							draft	NCBI assembly		1031		2	2	2014-12-12	2017-08-24
26	94_M4241A	ABLL01; GCA_000155145.1; PRJNA29165; PRJNA55095; SAMN02595224						Mycobacterium tuberculosis							draft	NCBI assembly		1032		2	2	2014-12-12	2017-08-24
27	98-R604 INH-RIF-EM	ABVM01; GCA_000155795.1; PRJNA30979; PRJNA55399; SAMN02595232	South Africa	Africa				Mycobacterium tuberculosis							draft	NCBI assembly		1033	clinical specimen	2	2	2014-12-12	2017-08-24
28	C	AAKR01; GCA_000152505.1; PRJNA16172; PRJNA54359; SAMN02595209	USA	North America				Mycobacterium tuberculosis							draft	NCBI assembly		1034		2	1	2014-12-12	2022-06-16
29	CPHL_A	ACHP01; GCA_000159755.1; PRJNA34553; PRJNA55877; SAMN02595306						Mycobacterium tuberculosis							draft	NCBI assembly		1035		2	2	2014-12-12	2017-08-24
30	EAS054	ABOV01; GCA_000155225.1; PRJNA29329; PRJNA55133; SAMN02595227						Mycobacterium tuberculosis							draft	NCBI assembly		1036		2	2	2014-12-12	2017-08-24
31	GM 1503	ABQG01; GCA_000155285.1; PRJNA30015; PRJNA55271; SAMN02595229						Mycobacterium tuberculosis							draft	NCBI assembly		1037		2	1	2014-12-12	2022-06-16
32	H37Ra	AAYK01; GCA_000169515.1; PRJNA18649; PRJNA54595; SAMN02469331						Mycobacterium tuberculosis	1934						draft	NCBI assembly		1038		2	2	2014-12-12	2017-08-11
33	Haarlem	AASN01; PRJNA17353; PRJNA54453						Mycobacterium tuberculosis							draft	NCBI reference		1039	This NCBI Assembly entry has been replaced at NCBI by CP001664.1; Haarlem	2	2	2014-12-12	2017-08-24
34	K85	ACHQ01; GCA_000159775.1; PRJNA34555; PRJNA55879; SAMN02595307						Mycobacterium tuberculosis							draft	NCBI assembly		1040		2	2	2014-12-12	2017-08-24
35	KZN 4207	PRJNA21053; PRJNA83619	South Africa	Africa				Mycobacterium tuberculosis							draft	NCBI reference		1041	This NCBI Assembly entry has been superseded by NC_016768.1	2	2	2014-12-12	2017-08-24
36	KZN 605	PRJNA21057; PRJNA54947	South Africa	Africa				Mycobacterium tuberculosis							draft	NCBI reference		1042		2	2	2014-12-12	2017-08-24
37	T17	ABQH01; GCA_000155305.1; PRJNA30017; PRJNA55273; SAMN02595230						Mycobacterium tuberculosis							draft	NCBI assembly		1043	L1	2	2	2014-12-12	2017-08-16
38	T46	ACHO01; GCA_000159735.1; PRJNA34551; PRJNA55875; SAMN02595305						Mycobacterium tuberculosis							draft	NCBI assembly		1044		2	2	2014-12-12	2017-08-24
39	T85	ABOW01; GCA_000155245.1; PRJNA29327; PRJNA55131; SAMN02595228						Mycobacterium tuberculosis							draft	NCBI assembly		1045	L2	2	2	2014-12-12	2017-08-24
40	T92	ABLN01; GCA_000155185.1; PRJNA29169; PRJNA55099; SAMN02595226						Mycobacterium tuberculosis							draft	NCBI assembly		1046	L1	2	2	2014-12-12	2017-08-24
41	RGTB327	CP003233; PRJNA157907; PRJNA73717						Mycobacterium tuberculosis							finished	NCBI reference	CP003233	3988		2	1	2014-12-12	2022-06-16
42	ERR028318	ERR028318						Mycobacterium tuberculosis							draft	ENA SRA	ERR028318	10841		2	-1	2014-12-12	2022-06-29
43	ERR024353	ERR024353						Mycobacterium tuberculosis							draft	ENA SRA	ERR024353	10842		2	2	2014-12-12	2017-08-08
44	SRR067489	SRR067489						Mycobacterium tuberculosis							draft	ENA SRA	SRR067489	10843		2	2	2014-12-12	2017-08-24
45	ERR019575	ERR019575						Mycobacterium tuberculosis							draft	ENA SRA	ERR019575	10844		2	2	2014-12-12	2017-08-24
46	ERR017801	ERR017801						Mycobacterium tuberculosis							draft	ENA SRA	ERR017801	10845		2	2	2014-12-12	2017-08-24
47	ERR017794	ERR017794						Mycobacterium tuberculosis							draft	ENA SRA	ERR017794	10846		2	2	2014-12-12	2017-08-24
48	ERR046871	ERR046871						Mycobacterium tuberculosis							draft	ENA SRA	ERR046871	10847		2	2	2014-12-12	2017-08-24
49	SRR067468	SRR067468						Mycobacterium tuberculosis							draft	ENA SRA	SRR067468	10848		2	2	2014-12-12	2017-08-24
50	ERR023740	ERR023740						Mycobacterium tuberculosis							draft	ENA SRA	ERR023740	10849		2	2	2014-12-12	2017-08-24
51	ERR023729	ERR023729						Mycobacterium tuberculosis							draft	ENA SRA	ERR023729	10850		2	2	2014-12-12	2017-08-10
52	ERR025880	ERR025880						Mycobacterium tuberculosis							draft	ENA SRA	ERR025880	10851		2	2	2014-12-12	2017-08-24
53	SRR125301	SRR125301						Mycobacterium tuberculosis							draft	ENA SRA	SRR125301	10852		2	2	2014-12-12	2017-08-24
54	ERR023195	ERR023195						Mycobacterium tuberculosis							draft	ENA SRA	ERR023195	10853		2	2	2014-12-12	2017-08-08
55	ERR028614	ERR028614						Mycobacterium tuberculosis							draft	ENA SRA	ERR028614	10854		2	2	2014-12-12	2017-08-24
56	SRR137213	SRR137213						Mycobacterium tuberculosis							draft	ENA SRA	SRR137213	10855		2	2	2014-12-12	2017-08-24
57	ERR023739	ERR023739						Mycobacterium tuberculosis							draft	ENA SRA	ERR023739	10856		2	2	2014-12-12	2017-08-24
58	ERR023738	ERR023738						Mycobacterium tuberculosis							draft	ENA SRA	ERR023738	10857		2	2	2014-12-12	2017-08-10
59	ERR037534	ERR037534						Mycobacterium tuberculosis							draft	ENA SRA	ERR037534	10858		2	2	2014-12-12	2017-08-24
60	ERR046914	ERR046914						Mycobacterium tuberculosis							draft	ENA SRA	ERR046914	10859		2	2	2014-12-12	2017-08-24
61	ERR027465	ERR027465						Mycobacterium tuberculosis							draft	ENA SRA	ERR027465	10860		2	2	2014-12-12	2017-08-08
62	ERR046812	ERR046812						Mycobacterium tuberculosis							draft	ENA SRA	ERR046812	10861		2	2	2014-12-12	2017-08-24
63	ERR036199	ERR036199						Mycobacterium tuberculosis							draft	ENA SRA	ERR036199	10862		2	2	2014-12-12	2017-08-24
64	ERR046872	ERR046872						Mycobacterium tuberculosis							draft	ENA SRA	ERR046872	10863		2	2	2014-12-12	2017-08-24
65	ERR028367	ERR028367						Mycobacterium tuberculosis							draft	ENA SRA	ERR028367	10864		2	2	2014-12-12	2017-08-24
66	ERR023731	ERR023731						Mycobacterium tuberculosis							draft	ENA SRA	ERR023731	10865		2	2	2014-12-12	2017-08-24
67	ERR036204	ERR036204						Mycobacterium tuberculosis							draft	ENA SRA	ERR036204	10866		2	2	2014-12-12	2017-08-10
68	ERR017800	ERR017800						Mycobacterium tuberculosis							draft	ENA SRA	ERR017800	10867		2	2	2014-12-12	2017-08-10
69	ERR192250	ERR192250						Mycobacterium tuberculosis							draft	ENA SRA	ERR192250	10868		2	2	2014-12-12	2017-08-24
70	ERR046822	ERR046822						Mycobacterium tuberculosis							draft	ENA SRA	ERR046822	10869		2	2	2014-12-12	2017-08-24
71	ERR025422	ERR025422						Mycobacterium tuberculosis							draft	ENA SRA	ERR025422	10870		2	2	2014-12-12	2017-08-24
72	ERR036236	ERR036236						Mycobacterium tuberculosis							draft	ENA SRA	ERR036236	10871		2	2	2014-12-12	2017-08-24
73	ERR036240	ERR036240						Mycobacterium tuberculosis							draft	ENA SRA	ERR036240	10872		2	2	2014-12-12	2017-08-24
74	ERR023737	ERR023737						Mycobacterium tuberculosis							draft	ENA SRA	ERR023737	10873		2	2	2014-12-12	2017-08-10
75	ERR027451	ERR027451						Mycobacterium tuberculosis							draft	ENA SRA	ERR027451	10874		2	2	2014-12-12	2017-08-24
76	ERR025889	ERR025889						Mycobacterium tuberculosis							draft	ENA SRA	ERR025889	10875		2	2	2014-12-12	2017-08-24
77	ERR027454	ERR027454						Mycobacterium tuberculosis							draft	ENA SRA	ERR027454	10876		2	2	2014-12-12	2017-08-24
78	ERR027449	ERR027449						Mycobacterium tuberculosis							draft	ENA SRA	ERR027449	10877		2	2	2014-12-12	2017-08-24
79	ERR046810	ERR046810						Mycobacterium tuberculosis							draft	ENA SRA	ERR046810	10878		2	2	2014-12-12	2017-08-24
80	ERR046874	ERR046874						Mycobacterium tuberculosis							draft	ENA SRA	ERR046874	10879		2	2	2014-12-12	2017-08-24
81	ERR046819	ERR046819						Mycobacterium tuberculosis							draft	ENA SRA	ERR046819	10880		2	2	2014-12-12	2017-08-24
82	ERR036205	ERR036205						Mycobacterium tuberculosis							draft	ENA SRA	ERR036205	10881		2	2	2014-12-12	2017-08-24
83	ERR027447	ERR027447						Mycobacterium tuberculosis							draft	ENA SRA	ERR027447	10882		2	2	2014-12-12	2017-08-24
84	ERR072015	ERR072015						Mycobacterium tuberculosis							draft	ENA SRA	ERR072015	10883		2	2	2014-12-12	2017-08-10
85	ERR027445	ERR027445						Mycobacterium tuberculosis							draft	ENA SRA	ERR027445	10884		2	2	2014-12-12	2017-08-24
86	ERR028623	ERR028623						Mycobacterium tuberculosis							draft	ENA SRA	ERR028623	10885		2	2	2014-12-12	2017-08-24
87	ERR027456	ERR027456						Mycobacterium tuberculosis							draft	ENA SRA	ERR027456	10886		2	2	2014-12-12	2017-08-24
88	ERR036217	ERR036217						Mycobacterium tuberculosis							draft	ENA SRA	ERR036217	10887		2	2	2014-12-12	2017-08-24
89	ERR027468	ERR027468						Mycobacterium tuberculosis							draft	ENA SRA	ERR027468	10888		2	2	2014-12-12	2017-08-24
90	ERR036201	ERR036201						Mycobacterium tuberculosis							draft	ENA SRA	ERR036201	10889		2	2	2014-12-12	2017-08-24
91	ERR046844	ERR046844						Mycobacterium tuberculosis							draft	ENA SRA	ERR046844	10890		2	2	2014-12-12	2017-08-24
92	ERR027446	ERR027446						Mycobacterium tuberculosis							draft	ENA SRA	ERR027446	10891		2	2	2014-12-12	2017-08-24
93	ERR027469	ERR027469						Mycobacterium tuberculosis							draft	ENA SRA	ERR027469	10892		2	2	2014-12-12	2017-08-10
94	ERR023732	ERR023732						Mycobacterium tuberculosis							draft	ENA SRA	ERR023732	10893		2	2	2014-12-12	2017-08-24
95	ERR025441	ERR025441						Mycobacterium tuberculosis							draft	ENA SRA	ERR025441	10894		2	2	2014-12-12	2017-08-24
96	ERR176637	ERR176637						Mycobacterium tuberculosis							draft	ENA SRA	ERR176637	10895		2	2	2014-12-12	2017-08-24
97	ERR027448	ERR027448						Mycobacterium tuberculosis							draft	ENA SRA	ERR027448	10896		2	2	2014-12-12	2017-08-24
98	ERR027452	ERR027452						Mycobacterium tuberculosis							draft	ENA SRA	ERR027452	10897		2	2	2014-12-12	2017-08-24
99	ERR036223	ERR036223						Mycobacterium tuberculosis							draft	ENA SRA	ERR036223	10898		2	2	2014-12-12	2017-08-24
100	ERR036210	ERR036210						Mycobacterium tuberculosis							draft	ENA SRA	ERR036210	10899		2	2	2014-12-12	2017-08-24
101	ERR025436	ERR025436						Mycobacterium tuberculosis							draft	ENA SRA	ERR025436	10900		2	2	2014-12-12	2017-08-24
102	ERR046932	ERR046932						Mycobacterium tuberculosis							draft	ENA SRA	ERR046932	10901		2	2	2014-12-12	2017-08-16
103	ERR027466	ERR027466						Mycobacterium tuberculosis							draft	ENA SRA	ERR027466	10902		2	2	2014-12-12	2017-08-07
104	ERR045761	ERR045761						Mycobacterium tuberculosis							draft	ENA SRA	ERR045761	10903		2	2	2014-12-12	2017-08-24
105	ERR176763	ERR176763						Mycobacterium tuberculosis							draft	ENA SRA	ERR176763	10904		2	2	2014-12-12	2017-08-24
106	ERR046980	ERR046980						Mycobacterium tuberculosis							draft	ENA SRA	ERR046980	10905		2	2	2014-12-12	2017-08-24
107	ERR046858	ERR046858						Mycobacterium tuberculosis							draft	ENA SRA	ERR046858	10906		2	2	2014-12-12	2017-08-24
108	ERR047004	ERR047004						Mycobacterium tuberculosis							draft	ENA SRA	ERR047004	10907		2	2	2014-12-12	2017-08-11
109	ERR144602	ERR144602						Mycobacterium tuberculosis							draft	ENA SRA	ERR144602	10908		2	2	2014-12-12	2017-08-10
110	ERR047000	ERR047000						Mycobacterium tuberculosis							draft	ENA SRA	ERR047000	10909		2	2	2014-12-12	2017-08-24
111	ERR046992	ERR046992						Mycobacterium tuberculosis							draft	ENA SRA	ERR046992	10910		2	2	2014-12-12	2017-08-24
112	ERR027453	ERR027453						Mycobacterium tuberculosis							draft	ENA SRA	ERR027453	10911		2	2	2014-12-12	2017-08-01
113	ERR046997	ERR046997						Mycobacterium tuberculosis							draft	ENA SRA	ERR046997	10912		2	2	2014-12-12	2017-08-24
114	ERR027450	ERR027450						Mycobacterium tuberculosis							draft	ENA SRA	ERR027450	10913		2	2	2014-12-12	2017-08-24
115	ERR045759	ERR045759						Mycobacterium tuberculosis							draft	ENA SRA	ERR045759	10914		2	2	2014-12-12	2017-08-01
116	ERR047012	ERR047012						Mycobacterium tuberculosis							draft	ENA SRA	ERR047012	10915		2	2	2014-12-12	2017-08-24
117	ERR046927	ERR046927						Mycobacterium tuberculosis							draft	ENA SRA	ERR046927	10916		2	2	2014-12-12	2017-08-10
118	ERR027455	ERR027455						Mycobacterium tuberculosis							draft	ENA SRA	ERR027455	10917		2	2	2014-12-12	2017-08-24
119	ERR047001	ERR047001						Mycobacterium tuberculosis							draft	ENA SRA	ERR047001	10918		2	2	2014-12-12	2017-08-24
120	ERR046988	ERR046988						Mycobacterium tuberculosis							draft	ENA SRA	ERR046988	10919		2	2	2014-12-12	2017-08-24
121	ERR047011	ERR047011						Mycobacterium tuberculosis							draft	ENA SRA	ERR047011	10920		2	2	2014-12-12	2017-08-10
122	ERR176811	ERR176811						Mycobacterium tuberculosis							draft	ENA SRA	ERR176811	10921		2	2	2014-12-12	2017-08-10
123	ERR046940	ERR046940						Mycobacterium tuberculosis							draft	ENA SRA	ERR046940	10922		2	2	2014-12-12	2017-08-24
124	ERR047013	ERR047013						Mycobacterium tuberculosis							draft	ENA SRA	ERR047013	10923		2	2	2014-12-12	2017-08-24
125	ERR176672	ERR176672						Mycobacterium tuberculosis							draft	ENA SRA	ERR176672	10924		2	2	2014-12-12	2017-08-24
126	ERR025837	ERR025837						Mycobacterium tuberculosis							draft	ENA SRA	ERR025837	10925		2	2	2014-12-12	2017-08-10
127	ERR181854	ERR181854						Mycobacterium tuberculosis							draft	ENA SRA	ERR181854	10926		2	2	2014-12-12	2017-08-24
128	ERR176533	ERR176533						Mycobacterium tuberculosis							draft	ENA SRA	ERR176533	10927		2	2	2014-12-12	2017-08-24
129	ERR176604	ERR176604						Mycobacterium tuberculosis							draft	ENA SRA	ERR176604	10928		2	2	2014-12-12	2017-08-24
130	ERR046970	ERR046970						Mycobacterium tuberculosis							draft	ENA SRA	ERR046970	10929		2	2	2014-12-12	2017-08-24
131	ERR176463	ERR176463						Mycobacterium tuberculosis							draft	ENA SRA	ERR176463	10930		2	-1	2014-12-12	2022-06-29
132	ERR176668	ERR176668						Mycobacterium tuberculosis							draft	ENA SRA	ERR176668	10931		2	2	2014-12-12	2017-08-24
133	ERR028363	ERR028363						Mycobacterium tuberculosis							draft	ENA SRA	ERR028363	10932		2	2	2014-12-12	2017-08-11
134	ERR046986	ERR046986						Mycobacterium tuberculosis							draft	ENA SRA	ERR046986	10933		2	2	2014-12-12	2017-08-24
135	ERR046991	ERR046991						Mycobacterium tuberculosis							draft	ENA SRA	ERR046991	10934		2	2	2014-12-12	2017-08-24
136	ERR176577	ERR176577						Mycobacterium tuberculosis							draft	ENA SRA	ERR176577	10935		2	2	2014-12-12	2017-08-24
137	ERR176790	ERR176790						Mycobacterium tuberculosis							draft	ENA SRA	ERR176790	10936		2	2	2014-12-12	2017-08-24
138	ERR046974	ERR046974						Mycobacterium tuberculosis							draft	ENA SRA	ERR046974	10937		2	2	2014-12-12	2017-08-24
139	ERR176696	ERR176696						Mycobacterium tuberculosis							draft	ENA SRA	ERR176696	10938		2	2	2014-12-12	2017-08-24
140	ERR176498	ERR176498						Mycobacterium tuberculosis							draft	ENA SRA	ERR176498	10939		2	2	2014-12-12	2017-08-24
141	ERR176459	ERR176459						Mycobacterium tuberculosis							draft	ENA SRA	ERR176459	10940		2	2	2014-12-12	2017-08-24
142	ERR176452	ERR176452						Mycobacterium tuberculosis							draft	ENA SRA	ERR176452	10941		2	2	2014-12-12	2017-08-24
143	ERR025427	ERR025427						Mycobacterium tuberculosis							draft	ENA SRA	ERR025427	10942		2	2	2014-12-12	2017-08-24
144	ERR046926	ERR046926						Mycobacterium tuberculosis							draft	ENA SRA	ERR046926	10943		2	2	2014-12-12	2017-08-10
145	ERR176447	ERR176447						Mycobacterium tuberculosis							draft	ENA SRA	ERR176447	10944		2	2	2014-12-12	2017-08-24
146	ERR190340	ERR190340						Mycobacterium tuberculosis							draft	ENA SRA	ERR190340	10945		2	2	2014-12-12	2017-08-24
147	ERR176458	ERR176458						Mycobacterium tuberculosis							draft	ENA SRA	ERR176458	10946		2	2	2014-12-12	2017-08-24
148	ERR176652	ERR176652						Mycobacterium tuberculosis							draft	ENA SRA	ERR176652	10947		2	2	2014-12-12	2017-08-24
149	ERR176785	ERR176785						Mycobacterium tuberculosis							draft	ENA SRA	ERR176785	10948		2	2	2014-12-12	2017-08-24
150	ERR026479	ERR026479						Mycobacterium tuberculosis							draft	ENA SRA	ERR026479	10949		2	2	2014-12-12	2017-08-24
151	ERR046984	ERR046984						Mycobacterium tuberculosis							draft	ENA SRA	ERR046984	10950		2	2	2014-12-12	2017-08-24
152	ERR176792	ERR176792						Mycobacterium tuberculosis							draft	ENA SRA	ERR176792	10951		2	2	2014-12-12	2017-08-10
153	ERR176460	ERR176460						Mycobacterium tuberculosis							draft	ENA SRA	ERR176460	10952		2	2	2014-12-12	2017-08-24
154	ERR176710	ERR176710						Mycobacterium tuberculosis							draft	ENA SRA	ERR176710	10953		2	2	2014-12-12	2017-08-24
155	ERR176670	ERR176670						Mycobacterium tuberculosis							draft	ENA SRA	ERR176670	10954		2	2	2014-12-12	2017-08-24
156	ERR176484	ERR176484						Mycobacterium tuberculosis							draft	ENA SRA	ERR176484	10955		2	2	2014-12-12	2017-08-24
157	ERR176762	ERR176762						Mycobacterium tuberculosis							draft	ENA SRA	ERR176762	10956		2	2	2014-12-12	2017-08-10
158	ERR176665	ERR176665						Mycobacterium tuberculosis							draft	ENA SRA	ERR176665	10957		2	2	2014-12-12	2017-08-24
159	ERR176569	ERR176569						Mycobacterium tuberculosis							draft	ENA SRA	ERR176569	10958		2	2	2014-12-12	2017-08-24
160	ERR176598	ERR176598						Mycobacterium tuberculosis							draft	ENA SRA	ERR176598	10959		2	2	2014-12-12	2017-08-10
161	ERR164002	ERR164002						Mycobacterium tuberculosis							draft	ENA SRA	ERR164002	10960		2	2	2014-12-12	2017-08-24
162	ERR072074	ERR072074						Mycobacterium tuberculosis							draft	ENA SRA	ERR072074	10961		2	2	2014-12-12	2017-08-24
163	ERR072063	ERR072063						Mycobacterium tuberculosis							draft	ENA SRA	ERR072063	10962		2	2	2014-12-12	2017-08-24
164	ERR181856	ERR181856						Mycobacterium tuberculosis							draft	ENA SRA	ERR181856	10963		2	2	2014-12-12	2017-08-24
165	ERR176676	ERR176676						Mycobacterium tuberculosis							draft	ENA SRA	ERR176676	10964		2	2	2014-12-12	2017-08-24
166	ERR176722	ERR176722						Mycobacterium tuberculosis							draft	ENA SRA	ERR176722	10965		2	2	2014-12-12	2017-08-24
167	ERR176635	ERR176635						Mycobacterium tuberculosis							draft	ENA SRA	ERR176635	10966		2	2	2014-12-12	2017-08-24
168	ERR176581	ERR176581						Mycobacterium tuberculosis							draft	ENA SRA	ERR176581	10967		2	2	2014-12-12	2017-08-24
169	ERR176764	ERR176764						Mycobacterium tuberculosis							draft	ENA SRA	ERR176764	10968		2	2	2014-12-12	2017-08-24
170	ERR181773	ERR181773						Mycobacterium tuberculosis							draft	ENA SRA	ERR181773	10969		2	2	2014-12-12	2017-08-24
171	ERR072062	ERR072062						Mycobacterium tuberculosis							draft	ENA SRA	ERR072062	10970		2	2	2014-12-12	2017-08-24
172	ERR072073	ERR072073						Mycobacterium tuberculosis							draft	ENA SRA	ERR072073	10971		2	2	2014-12-12	2017-08-24
173	ERR176586	ERR176586						Mycobacterium tuberculosis							draft	ENA SRA	ERR176586	10972		2	2	2014-12-12	2017-08-10
174	ERR176817	ERR176817						Mycobacterium tuberculosis							draft	ENA SRA	ERR176817	10973		2	2	2014-12-12	2017-08-24
175	ERR181853	ERR181853						Mycobacterium tuberculosis							draft	ENA SRA	ERR181853	10974		2	2	2014-12-12	2017-08-24
176	ERR181772	ERR181772						Mycobacterium tuberculosis							draft	ENA SRA	ERR181772	10975		2	2	2014-12-12	2017-08-24
177	ERR176667	ERR176667						Mycobacterium tuberculosis							draft	ENA SRA	ERR176667	10976		2	2	2014-12-12	2017-08-24
178	ERR176474	ERR176474						Mycobacterium tuberculosis							draft	ENA SRA	ERR176474	10977		2	2	2014-12-12	2017-08-24
179	ERR176802	ERR176802						Mycobacterium tuberculosis							draft	ENA SRA	ERR176802	10978		2	2	2014-12-12	2017-08-24
180	ERR176472	ERR176472						Mycobacterium tuberculosis							draft	ENA SRA	ERR176472	10979		2	2	2014-12-12	2017-08-24
181	ERR072080	ERR072080						Mycobacterium tuberculosis							draft	ENA SRA	ERR072080	10980		2	2	2014-12-12	2017-08-24
182	ERR181793	ERR181793						Mycobacterium tuberculosis							draft	ENA SRA	ERR181793	10981		2	2	2014-12-12	2017-08-24
183	ERR176653	ERR176653						Mycobacterium tuberculosis							draft	ENA SRA	ERR176653	10982		2	2	2014-12-12	2017-08-24
184	ERR176674	ERR176674						Mycobacterium tuberculosis							draft	ENA SRA	ERR176674	10983		2	2	2014-12-12	2017-08-24
185	ERR181981	ERR181981						Mycobacterium tuberculosis							draft	ENA SRA	ERR181981	10984		2	2	2014-12-12	2017-08-10
186	ERR171153	ERR171153						Mycobacterium tuberculosis							draft	ENA SRA	ERR171153	10985		2	2	2014-12-12	2017-08-10
187	ERR072072	ERR072072						Mycobacterium tuberculosis							draft	ENA SRA	ERR072072	10986		2	2	2014-12-12	2017-08-24
188	ERR176810	ERR176810						Mycobacterium tuberculosis							draft	ENA SRA	ERR176810	10987		2	2	2014-12-12	2017-08-24
189	ERR176479	ERR176479						Mycobacterium tuberculosis							draft	ENA SRA	ERR176479	10988		2	2	2014-12-12	2017-08-24
190	ERR176791	ERR176791						Mycobacterium tuberculosis							draft	ENA SRA	ERR176791	10989		2	2	2014-12-12	2017-08-24
