BioSample	host_species
SAMEA1403855	Homo sapiens
SAMEA1403856	Homo sapiens
SAMEA1403857	Homo sapiens
SAMEA1403858	Homo sapiens
SAMEA1403859	Homo sapiens
SAMEA1403860	Homo sapiens
SAMEA1403861	Homo sapiens
SAMEA1403862	Homo sapiens
SAMEA1403863	Homo sapiens
SAMEA1403864	Homo sapiens
SAMEA1403865	Homo sapiens
SAMEA1403866	Homo sapiens
SAMEA1403867	Homo sapiens
SAMEA1403868	Homo sapiens
SAMEA1403869	Homo sapiens
SAMEA1403870	Homo sapiens
SAMEA1403871	Homo sapiens
SAMEA1403872	Homo sapiens
SAMEA1403873	Homo sapiens
SAMEA1403874	Homo sapiens
SAMEA1403876	Homo sapiens
SAMEA1403877	Homo sapiens
SAMEA1403878	Homo sapiens
SAMEA1403879	Homo sapiens
SAMEA1403880	Homo sapiens
SAMEA1403882	Homo sapiens
SAMEA1403883	Homo sapiens
SAMEA1403884	Homo sapiens
SAMEA1403885	Homo sapiens
SAMEA1403886	Homo sapiens
SAMEA1403887	Homo sapiens
SAMEA1403888	Homo sapiens
SAMEA1403890	Homo sapiens
SAMEA1403891	Homo sapiens
SAMEA1403892	Homo sapiens
SAMEA1403893	Homo sapiens
SAMEA1403894	Homo sapiens
SAMEA1403895	Homo sapiens
SAMEA1403896	Homo sapiens
SAMEA1403897	Homo sapiens
SAMEA1403898	Homo sapiens
SAMEA1403899	Homo sapiens
SAMEA1403900	Homo sapiens
SAMEA1403901	Homo sapiens
SAMEA1403902	Homo sapiens
SAMEA1403903	Homo sapiens
SAMEA1403904	Homo sapiens
SAMEA1403905	Homo sapiens
SAMEA1403906	Homo sapiens
SAMEA1403907	Homo sapiens
SAMEA1403908	Homo sapiens
SAMEA1403909	Homo sapiens
SAMEA1403910	Homo sapiens
SAMEA1403911	Homo sapiens
SAMEA1403912	Homo sapiens
SAMEA1403913	Homo sapiens
SAMEA1403914	Homo sapiens
SAMEA1403915	Homo sapiens
SAMEA1403916	Homo sapiens
SAMEA1403917	Homo sapiens
SAMEA1403918	Homo sapiens
SAMEA1403919	Homo sapiens
SAMEA1403920	Homo sapiens
SAMEA1403921	Homo sapiens
SAMEA1403922	Homo sapiens
SAMEA1403923	Homo sapiens
SAMEA1403924	Homo sapiens
SAMEA1403925	Homo sapiens
SAMEA1403927	Homo sapiens
SAMEA1403928	Homo sapiens
SAMEA1403929	Homo sapiens
SAMEA1403930	Homo sapiens
SAMEA1403931	Homo sapiens
SAMEA1403932	Homo sapiens
SAMEA1403933	Homo sapiens
SAMEA1403934	Homo sapiens
SAMEA1403935	Homo sapiens
SAMEA1403936	Homo sapiens
SAMEA1403937	Homo sapiens
SAMEA1403938	Homo sapiens
SAMEA1403939	Homo sapiens
SAMEA1403940	Homo sapiens
SAMEA1403941	Homo sapiens
SAMEA1403942	Homo sapiens
SAMEA1403943	Homo sapiens
SAMEA1403945	Homo sapiens
SAMEA1403948	Homo sapiens
SAMEA1403949	Homo sapiens
SAMEA1403950	Homo sapiens
SAMEA1403951	Homo sapiens
SAMEA1403952	Homo sapiens
SAMEA1403953	Homo sapiens
SAMEA1403954	Homo sapiens
SAMEA1403955	Homo sapiens
SAMEA1403956	Homo sapiens
SAMEA1403957	Homo sapiens
SAMEA1403958	Homo sapiens
SAMEA1403959	Homo sapiens
SAMEA1403960	Homo sapiens
SAMEA1403961	Homo sapiens
SAMEA1403962	Homo sapiens
SAMEA1403963	Homo sapiens
SAMEA1403964	Homo sapiens
SAMEA1403965	Homo sapiens
SAMEA1403966	Homo sapiens
SAMEA1403969	Homo sapiens
SAMEA1403970	Homo sapiens
SAMEA1403971	Homo sapiens
SAMEA1403972	Homo sapiens
SAMEA1403973	Homo sapiens
SAMEA1403974	Homo sapiens
SAMEA1403975	Homo sapiens
SAMEA1403976	Homo sapiens
SAMEA1403977	Homo sapiens
SAMEA1403978	Homo sapiens
SAMEA1403979	Homo sapiens
SAMEA1403980	Homo sapiens
SAMEA1403981	Homo sapiens
SAMEA1403982	Homo sapiens
SAMEA1403983	Homo sapiens
SAMEA1403984	Homo sapiens
SAMEA1403985	Homo sapiens
SAMEA1403986	Homo sapiens
SAMEA1403987	Homo sapiens
SAMEA1403988	Homo sapiens
SAMEA1403989	Homo sapiens
SAMEA1403990	Homo sapiens
SAMEA1403991	Homo sapiens
SAMEA1403992	Homo sapiens
SAMEA1403993	Homo sapiens
SAMEA1403995	Homo sapiens
SAMEA1403996	Homo sapiens
SAMEA1403997	Homo sapiens
SAMEA1403998	Homo sapiens
SAMEA1403999	Homo sapiens
SAMEA1404001	Homo sapiens
SAMEA1404002	Homo sapiens
SAMEA1404003	Homo sapiens
SAMEA1404004	Homo sapiens
SAMEA1404005	Homo sapiens
SAMEA1404006	Homo sapiens
SAMEA1404007	Homo sapiens
SAMEA1404008	Homo sapiens
SAMEA1404009	Homo sapiens
SAMEA1404010	Homo sapiens
SAMEA1404011	Homo sapiens
SAMEA1404012	Homo sapiens
SAMEA1404013	Homo sapiens
SAMEA1404014	Homo sapiens
SAMEA1404015	Homo sapiens
SAMEA1404016	Homo sapiens
SAMEA1404017	Homo sapiens
SAMEA1404018	Homo sapiens
SAMEA1404020	Homo sapiens
SAMEA1404021	Homo sapiens
SAMEA1404022	Homo sapiens
SAMEA1404023	Homo sapiens
SAMEA1404024	Homo sapiens
SAMEA1404025	Homo sapiens
SAMEA1404026	Homo sapiens
SAMEA1404027	Homo sapiens
SAMEA1404028	Homo sapiens
SAMEA1404029	Homo sapiens
SAMEA1404030	Homo sapiens
SAMEA1404031	Homo sapiens
SAMEA1404032	Homo sapiens
SAMEA1404033	Homo sapiens
SAMEA1404035	Homo sapiens
SAMEA1404036	Homo sapiens
SAMEA1404038	Homo sapiens
SAMEA1404039	Homo sapiens
SAMEA1404040	Homo sapiens
SAMEA1404041	Homo sapiens
SAMEA1404042	Homo sapiens
SAMEA1404043	Homo sapiens
SAMEA1404044	Homo sapiens
SAMEA1404045	Homo sapiens
SAMEA1404046	Homo sapiens
SAMEA1404047	Homo sapiens
SAMEA1404048	Homo sapiens
SAMEA1469485	Homo sapiens
SAMEA1469486	Homo sapiens
SAMEA1469487	Homo sapiens
SAMEA1469488	Homo sapiens
SAMEA1469489	Homo sapiens
SAMEA1469490	Homo sapiens
SAMEA1469491	Homo sapiens
SAMEA1469492	Homo sapiens
SAMEA1469493	Homo sapiens
SAMEA1469494	Homo sapiens
SAMEA1469495	Homo sapiens
SAMEA1469497	Homo sapiens
SAMEA1469498	Homo sapiens
SAMEA1469499	Homo sapiens
SAMEA1469500	Homo sapiens
SAMEA1469501	Homo sapiens
SAMEA1469502	Homo sapiens
SAMEA1469503	Homo sapiens
SAMEA1469504	Homo sapiens
SAMEA1469506	Homo sapiens
SAMEA1469507	Homo sapiens
SAMEA1469508	Homo sapiens
SAMEA1469509	Homo sapiens
SAMEA1469510	Homo sapiens
SAMEA1469511	Homo sapiens
SAMEA1469512	Homo sapiens
SAMEA1469513	Homo sapiens
SAMEA1469514	Homo sapiens
SAMEA1469515	Homo sapiens
SAMEA1469516	Homo sapiens
SAMEA1469517	Homo sapiens
SAMEA1469518	Homo sapiens
SAMEA1469519	Homo sapiens
SAMEA1469520	Homo sapiens
SAMEA1469521	Homo sapiens
SAMEA1469522	Homo sapiens
SAMEA1469523	Homo sapiens
SAMEA1469524	Homo sapiens
SAMEA1469525	Homo sapiens
SAMEA1469526	Homo sapiens
SAMEA1469527	Homo sapiens
SAMEA1469528	Homo sapiens
SAMEA1469529	Homo sapiens
SAMEA1469531	Homo sapiens
SAMEA1469532	Homo sapiens
SAMEA1523352	Homo sapiens
SAMEA1523353	Homo sapiens
SAMEA1523354	Homo sapiens
SAMEA1523355	Homo sapiens
SAMEA1523356	Homo sapiens
SAMEA1523357	Homo sapiens
SAMEA1523358	Homo sapiens
SAMEA1523359	Homo sapiens
SAMEA1523360	Homo sapiens
SAMEA1523361	Homo sapiens
SAMEA1523362	Homo sapiens
SAMEA1523363	Homo sapiens
SAMEA1523364	Homo sapiens
SAMEA1523365	Homo sapiens
SAMEA1523366	Homo sapiens
SAMEA1523367	Homo sapiens
SAMEA1523369	Homo sapiens
SAMEA1523371	Homo sapiens
SAMEA1523372	Homo sapiens
SAMEA1523373	Homo sapiens
SAMEA1523374	Homo sapiens
SAMEA1523375	Homo sapiens
SAMEA1523376	Homo sapiens
SAMEA1523377	Homo sapiens
SAMEA1523378	Homo sapiens
SAMEA1523379	Homo sapiens
SAMEA1523380	Homo sapiens
SAMEA1523381	Homo sapiens
SAMEA1523382	Homo sapiens
SAMEA1523383	Homo sapiens
SAMEA1523384	Homo sapiens
SAMEA1523385	Homo sapiens
SAMEA1523386	Homo sapiens
SAMEA1523387	Homo sapiens
SAMEA1523388	Homo sapiens
SAMEA1523389	Homo sapiens
SAMEA1706654	Homo sapiens
SAMEA1706656	Homo sapiens
SAMEA1706657	Homo sapiens
SAMEA1706658	Homo sapiens
SAMEA1706659	Homo sapiens
SAMEA1706660	Homo sapiens
SAMEA1706662	Homo sapiens
SAMEA1706663	Homo sapiens
SAMEA1706664	Homo sapiens
SAMEA1706665	Homo sapiens
SAMEA1706666	Homo sapiens
SAMEA1706667	Homo sapiens
SAMEA1706670	Homo sapiens
SAMEA1706671	Homo sapiens
SAMEA1706672	Homo sapiens
SAMEA1706673	Homo sapiens
SAMEA1706674	Homo sapiens
SAMEA1706675	Homo sapiens
SAMEA1706676	Homo sapiens
SAMEA1706677	Homo sapiens
SAMEA1706679	Homo sapiens
SAMEA1706680	Homo sapiens
SAMEA1706681	Homo sapiens
SAMEA1706682	Homo sapiens
SAMEA1706683	Homo sapiens
SAMEA1706684	Homo sapiens
SAMEA1706685	Homo sapiens
SAMEA1706686	Homo sapiens
SAMEA1706688	Homo sapiens
SAMEA1706689	Homo sapiens
SAMEA1706690	Homo sapiens
SAMEA1706691	Homo sapiens
SAMEA1706692	Homo sapiens
SAMEA1706693	Homo sapiens
SAMEA1706694	Homo sapiens
SAMEA1706695	Homo sapiens
SAMEA1706696	Homo sapiens
SAMEA1706697	Homo sapiens
SAMEA1706698	Homo sapiens
SAMEA1706699	Homo sapiens
SAMEA1706702	Homo sapiens
SAMEA1706704	Homo sapiens
SAMEA1706705	Homo sapiens
SAMEA1706706	Homo sapiens
SAMEA1706708	Homo sapiens
SAMEA1706709	Homo sapiens
SAMEA1707113	Homo sapiens
SAMEA1707114	Homo sapiens
SAMEA1707116	Homo sapiens
SAMEA1707117	Homo sapiens
SAMEA1707118	Homo sapiens
SAMEA1707120	Homo sapiens
SAMEA1707121	Homo sapiens
SAMEA1707124	Homo sapiens
SAMEA1707125	Homo sapiens
SAMEA1707126	Homo sapiens
SAMEA1707128	Homo sapiens
SAMEA1707130	Homo sapiens
SAMEA1707132	Homo sapiens
SAMEA1707134	Homo sapiens
SAMEA1707135	Homo sapiens
SAMEA1707137	Homo sapiens
SAMEA1707139	Homo sapiens
SAMEA1707141	Homo sapiens
SAMEA1707142	Homo sapiens
SAMEA1707144	Homo sapiens
SAMEA1707145	Homo sapiens
SAMEA1707146	Homo sapiens
SAMEA1707147	Homo sapiens
SAMEA1707148	Homo sapiens
SAMEA1707149	Homo sapiens
SAMEA1707150	Homo sapiens
SAMEA1707151	Homo sapiens
SAMEA1707152	Homo sapiens
SAMEA1707153	Homo sapiens
SAMEA1707154	Homo sapiens
SAMEA1707156	Homo sapiens
SAMEA1707157	Homo sapiens
SAMEA1707159	Homo sapiens
SAMEA1707160	Homo sapiens
SAMEA1707162	Homo sapiens
SAMEA1707163	Homo sapiens
SAMEA1707164	Homo sapiens
SAMEA1707165	Homo sapiens
SAMEA1707166	Homo sapiens
SAMEA1707167	Homo sapiens
SAMEA1707169	Homo sapiens
SAMEA1707170	Homo sapiens
SAMEA1707171	Homo sapiens
SAMEA1707175	Homo sapiens
SAMEA1707176	Homo sapiens
SAMEA1707179	Homo sapiens
SAMEA1707180	Homo sapiens
SAMEA1707182	Homo sapiens
SAMEA1707183	Homo sapiens
SAMEA1707184	Homo sapiens
SAMEA1707185	Homo sapiens
SAMEA1707186	Homo sapiens
SAMEA1707187	Homo sapiens
SAMEA1707188	Homo sapiens
SAMEA1707189	Homo sapiens
SAMEA1707191	Homo sapiens
SAMEA1707192	Homo sapiens
SAMEA1707194	Homo sapiens
SAMEA1707196	Homo sapiens
SAMEA1707197	Homo sapiens
SAMEA1707198	Homo sapiens
SAMEA1707199	Homo sapiens
SAMEA1707200	Homo sapiens
SAMEA1707201	Homo sapiens
SAMEA1707202	Homo sapiens
SAMEA1707203	Homo sapiens
SAMEA1707205	Homo sapiens
SAMEA1707206	Homo sapiens
SAMEA1707208	Homo sapiens
SAMEA1707210	Homo sapiens
SAMEA1707213	Homo sapiens
SAMEA1707215	Homo sapiens
SAMEA1707217	Homo sapiens
SAMEA1707218	Homo sapiens
SAMEA1707221	Homo sapiens
SAMEA1707223	Homo sapiens
SAMEA1707225	Homo sapiens
SAMEA1707226	Homo sapiens
SAMEA1707229	Homo sapiens
SAMEA1707230	Homo sapiens
SAMEA1707231	Homo sapiens
SAMEA1707233	Homo sapiens
SAMEA1707234	Homo sapiens
SAMEA1707235	Homo sapiens
SAMEA1707237	Homo sapiens
SAMEA1707239	Homo sapiens
SAMEA1707240	Homo sapiens
SAMEA1707242	Homo sapiens
SAMEA1707244	Homo sapiens
SAMEA1707246	Homo sapiens
SAMEA1707250	Homo sapiens
SAMEA1707252	Homo sapiens
SAMEA1707253	Homo sapiens
SAMEA1707257	Homo sapiens
SAMEA1707258	Homo sapiens
SAMEA1707261	Homo sapiens
SAMEA1707263	Homo sapiens
SAMEA1707264	Homo sapiens
SAMEA1707266	Homo sapiens
SAMEA1707267	Homo sapiens
SAMEA1707269	Homo sapiens
SAMEA1707270	Homo sapiens
SAMEA1707271	Homo sapiens
SAMEA1707272	Homo sapiens
SAMEA1707274	Homo sapiens
SAMEA1707275	Homo sapiens
SAMEA1707277	Homo sapiens
SAMEA1707278	Homo sapiens
SAMEA1707279	Homo sapiens
SAMEA1707280	Homo sapiens
SAMEA1707282	Homo sapiens
SAMEA1707284	Homo sapiens
SAMEA1707286	Homo sapiens
SAMEA1707287	Homo sapiens
SAMEA1707288	Homo sapiens
SAMEA1707290	Homo sapiens
SAMEA1707291	Homo sapiens
SAMEA1707292	Homo sapiens
SAMEA1707293	Homo sapiens
SAMEA1707295	Homo sapiens
SAMEA1707296	Homo sapiens
SAMEA1707298	Homo sapiens
SAMEA1707299	Homo sapiens
SAMEA1707300	Homo sapiens
SAMEA1707302	Homo sapiens
SAMEA1707304	Homo sapiens
SAMEA1707305	Homo sapiens
SAMEA1707307	Homo sapiens
SAMEA1707308	Homo sapiens
SAMEA1707310	Homo sapiens
SAMEA1707311	Homo sapiens
SAMEA1707312	Homo sapiens
SAMEA1707313	Homo sapiens
SAMEA1707315	Homo sapiens
SAMEA1707316	Homo sapiens
SAMEA1707317	Homo sapiens
SAMEA1707318	Homo sapiens
SAMEA1707320	Homo sapiens
SAMEA1707323	Homo sapiens
SAMEA1707325	Homo sapiens
SAMEA1707327	Homo sapiens
SAMEA1707329	Homo sapiens
SAMEA1707330	Homo sapiens
SAMEA1707331	Homo sapiens
SAMEA1707332	Homo sapiens
SAMEA1707334	Homo sapiens
SAMEA1707335	Homo sapiens
SAMEA1707337	Homo sapiens
SAMEA1707338	Homo sapiens
SAMEA1707339	Homo sapiens
SAMEA1707340	Homo sapiens
SAMEA1707342	Homo sapiens
SAMEA1707344	Homo sapiens
SAMEA1707346	Homo sapiens
SAMEA1707347	Homo sapiens
SAMEA1707348	Homo sapiens
SAMEA1707351	Homo sapiens
SAMEA1707352	Homo sapiens
SAMEA1707353	Homo sapiens
SAMEA1707355	Homo sapiens
SAMEA1707356	Homo sapiens
SAMEA1707358	Homo sapiens
SAMEA1707359	Homo sapiens
SAMEA1707360	Homo sapiens
SAMEA1707361	Homo sapiens
SAMEA1707362	Homo sapiens
SAMEA1707364	Homo sapiens
SAMEA1707366	Homo sapiens
SAMEA1707368	Homo sapiens
SAMEA1707370	Homo sapiens
SAMEA1707373	Homo sapiens
SAMEA1707375	Homo sapiens
SAMEA1707377	Homo sapiens
SAMEA1707379	Homo sapiens
SAMEA1707380	Homo sapiens
SAMEA1707383	Homo sapiens
SAMEA1707384	Homo sapiens
SAMEA1707385	Homo sapiens
SAMEA1707387	Homo sapiens
SAMEA1707388	Homo sapiens
SAMEA1707390	Homo sapiens
SAMEA1707391	Homo sapiens
SAMEA1707393	Homo sapiens
SAMEA1707394	Homo sapiens
SAMEA1707396	Homo sapiens
SAMEA1707397	Homo sapiens
SAMEA1707398	Homo sapiens
SAMEA1707399	Homo sapiens
SAMEA1707400	Homo sapiens
SAMEA1707401	Homo sapiens
SAMEA1707402	Homo sapiens
SAMEA1707403	Homo sapiens
SAMEA1707405	Homo sapiens
SAMEA1707406	Homo sapiens
SAMEA1707407	Homo sapiens
SAMEA1707408	Homo sapiens
SAMEA1707410	Homo sapiens
SAMEA1707412	Homo sapiens
SAMEA1707413	Homo sapiens
SAMEA1707414	Homo sapiens
SAMEA1707415	Homo sapiens
SAMEA1707417	Homo sapiens
SAMEA1707418	Homo sapiens
SAMEA1707419	Homo sapiens
SAMEA1707421	Homo sapiens
SAMEA1707422	Homo sapiens
SAMEA1707424	Homo sapiens
SAMEA1707425	Homo sapiens
SAMEA1707426	Homo sapiens
SAMEA1707427	Homo sapiens
SAMEA1707431	Homo sapiens
SAMEA1707433	Homo sapiens
SAMEA1707434	Homo sapiens
SAMEA1707435	Homo sapiens
SAMEA1707437	Homo sapiens
SAMEA1707438	Homo sapiens
SAMEA1707440	Homo sapiens
SAMEA1707442	Homo sapiens
SAMEA1707443	Homo sapiens
SAMEA1707446	Homo sapiens
SAMEA1707448	Homo sapiens
SAMEA1707450	Homo sapiens
SAMEA1707451	Homo sapiens
SAMEA1707452	Homo sapiens
SAMEA1707455	Homo sapiens
SAMEA1707457	Homo sapiens
SAMEA1707458	Homo sapiens
SAMEA1707460	Homo sapiens
SAMEA1707464	Homo sapiens
SAMEA1707466	Homo sapiens
SAMEA1707467	Homo sapiens
SAMEA1707468	Homo sapiens
SAMEA1707470	Homo sapiens
SAMEA1707471	Homo sapiens
SAMEA1707473	Homo sapiens
SAMEA1707475	Homo sapiens
SAMEA1707477	Homo sapiens
SAMEA1707478	Homo sapiens
SAMEA1707479	Homo sapiens
SAMEA1707480	Homo sapiens
SAMEA1707482	Homo sapiens
SAMEA1707484	Homo sapiens
SAMEA1707486	Homo sapiens
SAMEA1707487	Homo sapiens
SAMEA1707488	Homo sapiens
SAMEA1707490	Homo sapiens
SAMEA1707491	Homo sapiens
SAMEA1707494	Homo sapiens
SAMEA1707496	Homo sapiens
SAMEA1707498	Homo sapiens
SAMEA1707500	Homo sapiens
SAMEA1707502	Homo sapiens
SAMEA1707504	Homo sapiens
SAMEA1707505	Homo sapiens
SAMEA1707507	Homo sapiens
SAMEA1707508	Homo sapiens
SAMEA1707509	Homo sapiens
SAMEA1707511	Homo sapiens
SAMEA1707512	Homo sapiens
SAMEA1707513	Homo sapiens
SAMEA1707514	Homo sapiens
SAMEA1707516	Homo sapiens
SAMEA1707518	Homo sapiens
SAMEA1707519	Homo sapiens
SAMEA1707520	Homo sapiens
SAMEA1707521	Homo sapiens
SAMEA1707523	Homo sapiens
SAMEA1707524	Homo sapiens
SAMEA1707526	Homo sapiens
SAMEA1707527	Homo sapiens
SAMEA1707529	Homo sapiens
SAMEA1707530	Homo sapiens
SAMEA1707532	Homo sapiens
SAMEA1707533	Homo sapiens
SAMEA1707535	Homo sapiens
SAMEA1707536	Homo sapiens
SAMEA1707537	Homo sapiens
SAMEA1707538	Homo sapiens
SAMEA1707539	Homo sapiens
SAMEA1707540	Homo sapiens
SAMEA1707542	Homo sapiens
SAMEA1707543	Homo sapiens
SAMEA1707544	Homo sapiens
SAMEA1707545	Homo sapiens
SAMEA1707547	Homo sapiens
SAMEA1707548	Homo sapiens
SAMEA1707549	Homo sapiens
SAMEA1707551	Homo sapiens
SAMEA1707552	Homo sapiens
SAMEA1707556	Homo sapiens
SAMEA1707557	Homo sapiens
SAMEA1707558	Homo sapiens
SAMEA1707560	Homo sapiens
SAMEA1707562	Homo sapiens
SAMEA1707564	Homo sapiens
SAMEA1707565	Homo sapiens
SAMEA1707567	Homo sapiens
SAMEA1707569	Homo sapiens
SAMEA1707573	Homo sapiens
SAMEA1707574	Homo sapiens
SAMEA1707575	Homo sapiens
SAMEA1707577	Homo sapiens
SAMEA1707579	Homo sapiens
SAMEA20450668	Bos taurus
SAMEA2682672	Homo sapiens
SAMEA2682673	Homo sapiens
SAMEA2682674	Homo sapiens
SAMEA2682675	Homo sapiens
SAMEA2682676	Homo sapiens
SAMEA2682677	Homo sapiens
SAMEA2682678	Homo sapiens
SAMEA2682679	Homo sapiens
SAMEA2682680	Homo sapiens
SAMEA2682681	Homo sapiens
SAMEA2682682	Homo sapiens
SAMEA2682683	Homo sapiens
SAMEA2682684	Homo sapiens
SAMEA2682685	Homo sapiens
SAMEA2682686	Homo sapiens
SAMEA2682687	Homo sapiens
SAMEA2682688	Homo sapiens
SAMEA2682689	Homo sapiens
SAMEA2682690	Homo sapiens
SAMEA2682691	Homo sapiens
SAMEA2682692	Homo sapiens
SAMEA2682693	Homo sapiens
SAMEA2682694	Homo sapiens
SAMEA2682695	Homo sapiens
SAMEA2682696	Homo sapiens
SAMEA2682697	Homo sapiens
SAMEA2682698	Homo sapiens
SAMEA2682699	Homo sapiens
SAMEA2682700	Homo sapiens
SAMEA2682701	Homo sapiens
SAMEA2682702	Homo sapiens
SAMEA2682703	Homo sapiens
SAMEA2682704	Homo sapiens
SAMEA2682705	Homo sapiens
SAMEA2682706	Homo sapiens
SAMEA2682707	Homo sapiens
SAMEA2682708	Homo sapiens
SAMEA2682709	Homo sapiens
SAMEA2682710	Homo sapiens
SAMEA2682711	Homo sapiens
SAMEA2682712	Homo sapiens
SAMEA2682713	Homo sapiens
SAMEA2682714	Homo sapiens
SAMEA2682715	Homo sapiens
SAMEA2682716	Homo sapiens
SAMEA2682717	Homo sapiens
SAMEA2682718	Homo sapiens
SAMEA2682719	Homo sapiens
SAMEA2682720	Homo sapiens
SAMEA2682721	Homo sapiens
SAMEA2682722	Homo sapiens
SAMEA2682723	Homo sapiens
SAMEA2682724	Homo sapiens
SAMEA2682725	Homo sapiens
SAMEA2682726	Homo sapiens
SAMEA2682727	Homo sapiens
SAMEA2682728	Homo sapiens
SAMEA2682729	Homo sapiens
SAMEA2682730	Homo sapiens
SAMEA2682731	Homo sapiens
SAMEA2682732	Homo sapiens
SAMEA2682733	Homo sapiens
SAMEA2682734	Homo sapiens
SAMEA2682735	Homo sapiens
SAMEA2682736	Homo sapiens
SAMEA2682737	Homo sapiens
SAMEA2682738	Homo sapiens
SAMEA2682739	Homo sapiens
SAMEA2682740	Homo sapiens
SAMEA2682741	Homo sapiens
SAMEA2682742	Homo sapiens
SAMEA2682743	Homo sapiens
SAMEA2682744	Homo sapiens
SAMEA2682745	Homo sapiens
SAMEA2682746	Homo sapiens
SAMEA2682747	Homo sapiens
SAMEA2682748	Homo sapiens
SAMEA2682749	Homo sapiens
SAMEA2682750	Homo sapiens
SAMEA2682751	Homo sapiens
SAMEA2682752	Homo sapiens
SAMEA2682753	Homo sapiens
SAMEA2682754	Homo sapiens
SAMEA2682755	Homo sapiens
SAMEA2682756	Homo sapiens
SAMEA2682757	Homo sapiens
SAMEA2682758	Homo sapiens
SAMEA2682759	Homo sapiens
SAMEA2682760	Homo sapiens
SAMEA2682761	Homo sapiens
SAMEA2682762	Homo sapiens
SAMEA2682763	Homo sapiens
SAMEA2682764	Homo sapiens
SAMEA2682765	Homo sapiens
SAMEA2682766	Homo sapiens
SAMEA2682767	Homo sapiens
SAMEA2682768	Homo sapiens
SAMEA2682769	Homo sapiens
SAMEA2682770	Homo sapiens
SAMEA2682771	Homo sapiens
SAMEA2682772	Homo sapiens
SAMEA2682773	Homo sapiens
SAMEA2682774	Homo sapiens
SAMEA2682775	Homo sapiens
SAMEA2682776	Homo sapiens
SAMEA2682777	Homo sapiens
SAMEA2682778	Homo sapiens
SAMEA2682779	Homo sapiens
SAMEA2682780	Homo sapiens
SAMEA2682781	Homo sapiens
SAMEA2682783	Homo sapiens
SAMEA2682784	Homo sapiens
SAMEA2682785	Homo sapiens
SAMEA2682786	Homo sapiens
SAMEA2682788	Homo sapiens
SAMEA2682789	Homo sapiens
SAMEA2682790	Homo sapiens
SAMEA2682791	Homo sapiens
SAMEA2682792	Homo sapiens
SAMEA2682793	Homo sapiens
SAMEA2682794	Homo sapiens
SAMEA2682795	Homo sapiens
SAMEA2682796	Homo sapiens
SAMEA2682797	Homo sapiens
SAMEA2682798	Homo sapiens
SAMEA2682799	Homo sapiens
SAMEA2682800	Homo sapiens
SAMEA2682802	Homo sapiens
SAMEA2682803	Homo sapiens
SAMEA2682804	Homo sapiens
SAMEA2682805	Homo sapiens
SAMEA2682806	Homo sapiens
SAMEA2682807	Homo sapiens
SAMEA2682808	Homo sapiens
SAMEA2682809	Homo sapiens
SAMEA2682810	Homo sapiens
SAMEA2682811	Homo sapiens
SAMEA2682812	Homo sapiens
SAMEA2682813	Homo sapiens
SAMEA2682814	Homo sapiens
SAMEA2682815	Homo sapiens
SAMEA2682816	Homo sapiens
SAMEA2682817	Homo sapiens
SAMEA2682818	Homo sapiens
SAMEA2682819	Homo sapiens
SAMEA2682820	Homo sapiens
SAMEA2682821	Homo sapiens
SAMEA2682822	Homo sapiens
SAMEA2682823	Homo sapiens
SAMEA2682824	Homo sapiens
SAMEA2682825	Homo sapiens
SAMEA2682826	Homo sapiens
SAMEA2682827	Homo sapiens
SAMEA2682828	Homo sapiens
SAMEA2682829	Homo sapiens
SAMEA2682830	Homo sapiens
SAMEA2682831	Homo sapiens
SAMEA2682832	Homo sapiens
SAMEA2682833	Homo sapiens
SAMEA2682834	Homo sapiens
SAMEA2682836	Homo sapiens
SAMEA2682837	Homo sapiens
SAMEA2682838	Homo sapiens
SAMEA2682839	Homo sapiens
SAMEA2682840	Homo sapiens
SAMEA2682841	Homo sapiens
SAMEA2682842	Homo sapiens
SAMEA2682843	Homo sapiens
SAMEA2682844	Homo sapiens
SAMEA2682845	Homo sapiens
SAMEA2682846	Homo sapiens
SAMEA2682847	Homo sapiens
SAMEA2682848	Homo sapiens
SAMEA2682849	Homo sapiens
SAMEA2682850	Homo sapiens
SAMEA2682851	Homo sapiens
SAMEA2682852	Homo sapiens
SAMEA2682853	Homo sapiens
SAMEA2682854	Homo sapiens
SAMEA2682855	Homo sapiens
SAMEA2682856	Homo sapiens
SAMEA2682857	Homo sapiens
SAMEA2682858	Homo sapiens
SAMEA2682859	Homo sapiens
SAMEA2682860	Homo sapiens
SAMEA2682861	Homo sapiens
SAMEA2682862	Homo sapiens
SAMEA2682863	Homo sapiens
SAMEA2682864	Homo sapiens
SAMEA2682865	Homo sapiens
SAMEA2682866	Homo sapiens
SAMEA2682867	Homo sapiens
SAMEA2682868	Homo sapiens
SAMEA2682869	Homo sapiens
SAMEA2682870	Homo sapiens
SAMEA2682871	Homo sapiens
SAMEA2682872	Homo sapiens
SAMEA2682873	Homo sapiens
SAMEA2682874	Homo sapiens
SAMEA2682875	Homo sapiens
SAMEA2682876	Homo sapiens
SAMEA2682877	Homo sapiens
SAMEA2682878	Homo sapiens
SAMEA2682879	Homo sapiens
SAMEA2682880	Homo sapiens
SAMEA2682881	Homo sapiens
SAMEA2682882	Homo sapiens
SAMEA2682883	Homo sapiens
SAMEA2682884	Homo sapiens
SAMEA2682885	Homo sapiens
SAMEA2682886	Homo sapiens
SAMEA2682887	Homo sapiens
