BioSample	country
SAMEA1018897	United Kingdom
SAMEA1018898	United Kingdom
SAMEA1018899	United Kingdom
SAMEA1018900	United Kingdom
SAMEA1018901	United Kingdom
SAMEA1018904	United Kingdom
SAMEA1018905	United Kingdom
SAMEA1018906	United Kingdom
SAMEA1018907	United Kingdom
SAMEA1018908	United Kingdom
SAMEA1018909	United Kingdom
SAMEA1018911	United Kingdom
SAMEA1018912	United Kingdom
SAMEA1018913	United Kingdom
SAMEA1018914	United Kingdom
SAMEA1018916	United Kingdom
SAMEA1018917	United Kingdom
SAMEA1018918	United Kingdom
SAMEA1018920	United Kingdom
SAMEA1018921	United Kingdom
SAMEA1018923	United Kingdom
SAMEA1018924	United Kingdom
SAMEA1018925	United Kingdom
SAMEA1018927	United Kingdom
SAMEA1018928	United Kingdom
SAMEA1018929	United Kingdom
SAMEA1018931	United Kingdom
SAMEA1018932	United Kingdom
SAMEA1018934	United Kingdom
SAMEA1018935	United Kingdom
SAMEA1018936	United Kingdom
SAMEA1018941	United Kingdom
SAMEA1018943	United Kingdom
SAMEA1018944	United Kingdom
SAMEA1018945	United Kingdom
SAMEA1018948	United Kingdom
SAMEA1018949	United Kingdom
SAMEA1018950	United Kingdom
SAMEA1018954	United Kingdom
SAMEA1018957	United Kingdom
SAMEA1018958	United Kingdom
SAMEA1018959	United Kingdom
SAMEA1018960	United Kingdom
SAMEA1018962	United Kingdom
SAMEA1018963	United Kingdom
SAMEA1018967	United Kingdom
SAMEA1018968	United Kingdom
SAMEA1018969	United Kingdom
SAMEA1018972	United Kingdom
SAMEA1018973	United Kingdom
SAMEA1018974	United Kingdom
SAMEA1018975	United Kingdom
SAMEA1018976	United Kingdom
SAMEA1018977	United Kingdom
SAMEA1018980	United Kingdom
SAMEA1018981	United Kingdom
SAMEA1018985	United Kingdom
SAMEA1018987	United Kingdom
SAMEA1018989	United Kingdom
SAMEA1018990	United Kingdom
SAMEA1018991	United Kingdom
SAMEA1018993	United Kingdom
SAMEA1018994	United Kingdom
SAMEA1018995	United Kingdom
SAMEA1018998	United Kingdom
SAMEA1018999	United Kingdom
SAMEA1019001	United Kingdom
SAMEA1019002	United Kingdom
SAMEA1019003	United Kingdom
SAMEA1019004	United Kingdom
SAMEA1019006	United Kingdom
SAMEA1019008	United Kingdom
SAMEA1019010	United Kingdom
SAMEA1019011	United Kingdom
SAMEA1019012	United Kingdom
SAMEA1019013	United Kingdom
SAMEA1019014	United Kingdom
SAMEA1019016	United Kingdom
SAMEA1019017	United Kingdom
SAMEA1019021	United Kingdom
SAMEA1019022	United Kingdom
SAMEA1019024	United Kingdom
SAMEA1019026	United Kingdom
SAMEA1019028	United Kingdom
SAMEA1019029	United Kingdom
SAMEA1019031	United Kingdom
SAMEA1019032	United Kingdom
SAMEA1019033	United Kingdom
SAMEA1019034	United Kingdom
SAMEA1019036	United Kingdom
SAMEA1019037	United Kingdom
SAMEA1019041	United Kingdom
SAMEA1019043	United Kingdom
SAMEA1019047	United Kingdom
SAMEA1019048	United Kingdom
SAMEA1019049	United Kingdom
SAMEA1019050	United Kingdom
SAMEA1019052	United Kingdom
SAMEA1019053	United Kingdom
SAMEA1019054	United Kingdom
SAMEA1019055	United Kingdom
SAMEA1019056	United Kingdom
SAMEA1019058	United Kingdom
SAMEA1019062	United Kingdom
SAMEA1019064	United Kingdom
SAMEA1019066	United Kingdom
SAMEA1019067	United Kingdom
SAMEA1019068	United Kingdom
SAMEA1019071	United Kingdom
SAMEA1019075	United Kingdom
SAMEA1019078	United Kingdom
SAMEA1019080	United Kingdom
SAMEA1019082	United Kingdom
SAMEA1019084	United Kingdom
SAMEA1019085	United Kingdom
SAMEA1019092	United Kingdom
SAMEA1019093	United Kingdom
SAMEA1019094	United Kingdom
SAMEA1019097	United Kingdom
SAMEA1019099	United Kingdom
SAMEA1019100	United Kingdom
SAMEA1019101	United Kingdom
SAMEA1019102	United Kingdom
SAMEA1019108	United Kingdom
SAMEA1019109	United Kingdom
SAMEA1019110	United Kingdom
SAMEA1019113	United Kingdom
SAMEA1019118	United Kingdom
SAMEA1019119	United Kingdom
SAMEA1019120	United Kingdom
SAMEA1019121	United Kingdom
SAMEA1019123	United Kingdom
SAMEA1019126	United Kingdom
SAMEA1019128	United Kingdom
SAMEA1019131	United Kingdom
SAMEA1019133	United Kingdom
SAMEA1019136	United Kingdom
SAMEA1019137	United Kingdom
SAMEA1019139	United Kingdom
SAMEA1019142	United Kingdom
SAMEA1019143	United Kingdom
SAMEA1019145	United Kingdom
SAMEA1019146	United Kingdom
SAMEA1019150	United Kingdom
SAMEA1019151	United Kingdom
SAMEA1019154	United Kingdom
SAMEA1019155	United Kingdom
SAMEA1019157	United Kingdom
SAMEA1019163	United Kingdom
SAMEA1019164	United Kingdom
SAMEA1019166	United Kingdom
SAMEA1019169	United Kingdom
SAMEA1019171	United Kingdom
SAMEA1019174	United Kingdom
SAMEA1019178	United Kingdom
SAMEA1019179	United Kingdom
SAMEA1019181	United Kingdom
SAMEA1019183	United Kingdom
SAMEA1019184	United Kingdom
SAMEA1019185	United Kingdom
SAMEA1019189	United Kingdom
SAMEA1019192	United Kingdom
SAMEA1019194	United Kingdom
SAMEA1019196	United Kingdom
SAMEA1019197	United Kingdom
SAMEA1019198	United Kingdom
SAMEA1019200	United Kingdom
SAMEA1019202	United Kingdom
SAMEA1019204	United Kingdom
SAMEA1019210	United Kingdom
SAMEA1019211	United Kingdom
SAMEA1019212	United Kingdom
SAMEA1019214	United Kingdom
SAMEA1019215	United Kingdom
SAMEA1019217	United Kingdom
SAMEA1019219	United Kingdom
