BioSample	host_tissue_sampled
SAMN02381041	Sputum
SAMN02381042	Sputum
SAMN02381044	Sputum
SAMN02381045	Sputum
SAMN02381046	Sputum
SAMN02381047	Sputum
SAMN02381048	Sputum
SAMN02381049	Sputum
SAMN02381050	Sputum
SAMN02381051	Sputum
SAMN02381052	Sputum
SAMN02402662	Sputum
SAMN02402663	Sputum
SAMN02402664	Sputum
SAMN02402665	Sputum
SAMN02402666	Sputum
SAMN02402667	Sputum
SAMN02414842	Sputum
SAMN02414843	Sputum
SAMN02414844	Sputum
SAMN02414845	Sputum
SAMN02414846	Sputum
SAMN02414847	Gland
SAMN02414848	Lymph gland
SAMN02414851	Sputum
SAMN02414852	Sputum
SAMN02414854	Sputum
SAMN02414856	Sputum
SAMN02414857	Sputum
SAMN02414858	Sputum
SAMN02414859	Sputum
SAMN02414861	Sputum
SAMN02414862	Sputum
SAMN02414863	Retroperitoneal abscess
SAMN02414864	Lymph gland
SAMN02414865	Bronchial
SAMN02414866	Sputum
SAMN02414867	Lymph gland
SAMN02414869	Sputum
SAMN02414870	Lymph gland
SAMN02414871	Sputum
SAMN02414872	Bronchoalveolar lavage
SAMN02414873	Sputum
SAMN02414874	Sputum
SAMN02414875	Sputum
SAMN02414876	Sputum
SAMN02414877	Sputum
SAMN02414878	Sputum
SAMN02414879	Sputum
SAMN02414880	Sputum
SAMN02414881	Sputum
SAMN02414882	Sputum
SAMN02414883	Bronchoalveolar lavage
SAMN02414884	Abscess
SAMN02414885	Feces
SAMN02414886	Sputum
SAMN02414887	Sputum
SAMN02414888	Sputum
SAMN02414889	Sputum
SAMN02414890	Sputum
SAMN02414891	Bronchial
SAMN02414892	Sputum
SAMN02414893	Abscess
SAMN02414895	Bronchial
SAMN02414896	Sputum
SAMN02414899	Bronchoalveolar lavage
SAMN02414900	Sputum
SAMN02414901	Sputum
SAMN02414903	Sputum
SAMN02414904	Sputum
SAMN02414906	Sputum
SAMN02414908	Bronchial
SAMN02414909	Feces
SAMN02414910	Sputum
SAMN02414911	Sputum
SAMN02414912	Pus
SAMN02414913	Bronchial
SAMN02414914	Pericard
SAMN02414915	Pericard
SAMN02414916	Sputum
SAMN02414917	Sputum
SAMN02414918	Secretion
SAMN02414919	Sputum
SAMN02414920	Sputum
SAMN02414921	Abscess
SAMN02414922	Sputum
SAMN02414923	Colon
SAMN02414924	Secretion
SAMN02414925	Secretion
SAMN02414926	Pleural fluid
SAMN02414927	Bronchial
SAMN02414928	Secretion
SAMN02414929	Sputum
SAMN02414930	Secretion
SAMN02414931	Sputum
SAMN02414932	Sputum
SAMN02414933	Bronchial
SAMN02414934	Sputum
SAMN02414935	Sputum
SAMN02414936	Sputum
SAMN02414938	Sputum
SAMN02414940	Sputum
SAMN02414941	Bronchial
SAMN02414942	Bronchoalveolar lavage
SAMN02414943	Sputum
SAMN02414944	Sputum
SAMN02414946	Sputum
SAMN02414947	Sputum
SAMN02414949	Bronchoalveolar lavage
SAMN02414950	Sputum
SAMN02414951	Sputum
SAMN02414954	Bronchial
SAMN02414955	Cerebrospinal
SAMN02414956	Sputum
SAMN02414957	Gland
SAMN02414958	Sputum
SAMN02414960	Bronchial
SAMN02414962	Sputum
SAMN02414963	Sputum
SAMN02414967	Sputum
SAMN02414968	Gland
SAMN02414969	Sputum
SAMN02414970	Sputum
SAMN02414972	Sputum
SAMN02414974	Sputum
SAMN02414975	Sputum
SAMN02414976	Sputum
SAMN02414978	Sputum
SAMN02414979	Sputum
SAMN02414980	Abscess
SAMN02414982	Abscess
SAMN02414983	Sputum
SAMN02414984	Sputum
SAMN02414985	Gland
SAMN02414987	Sputum
SAMN02414988	Sputum
SAMN02414989	Sputum
SAMN02414990	Bronchoalveolar lavage
SAMN02414991	Sputum
SAMN02414992	Sputum
SAMN02414993	Sputum
SAMN02419533	Secretion
SAMN02419534	Secretion
SAMN02419535	Secretion
SAMN02419536	Secretion
SAMN02419537	Secretion
SAMN02419538	Secretion
SAMN02419539	Secretion
SAMN02419541	Secretion
SAMN02419542	Secretion
SAMN02419543	Secretion
SAMN02419544	Secretion
SAMN02419545	Secretion
SAMN02419546	Secretion
SAMN02419547	Secretion
SAMN02419548	Secretion
SAMN02419549	Secretion
SAMN02419550	Secretion
SAMN02419551	Secretion
SAMN02419552	Secretion
SAMN02419553	Secretion
SAMN02419555	Secretion
SAMN02419556	Secretion
SAMN02419558	Secretion
SAMN02419559	Secretion
SAMN02419560	Secretion
SAMN02419561	Secretion
SAMN02419562	Secretion
SAMN02419563	Secretion
SAMN02419564	Secretion
SAMN02419565	Secretion
SAMN02419566	Secretion
SAMN02419567	Secretion
SAMN02419568	Secretion
SAMN02419569	Secretion
SAMN02419570	Secretion
SAMN02419571	Secretion
SAMN02419572	Secretion
SAMN02419573	Secretion
SAMN02419574	Secretion
SAMN02419575	Secretion
SAMN02419577	Secretion
SAMN02419578	Secretion
SAMN02419579	Secretion
SAMN02419580	Secretion
SAMN02419581	Secretion
SAMN02419582	Secretion
SAMN02419583	Secretion
SAMN02419584	Secretion
SAMN02419585	Secretion
SAMN02419586	Secretion
SAMN02419587	Secretion
SAMN02419588	Secretion
SAMN02419589	Secretion
SAMN02419590	Secretion
SAMN02419591	Secretion
SAMN02419592	Secretion
SAMN02419593	Secretion
SAMN02419594	Secretion
SAMN02419595	Secretion
SAMN02419596	Secretion
SAMN02419597	Secretion
SAMN02419598	Secretion
SAMN02419599	Secretion
SAMN02419600	Secretion
SAMN02419601	Secretion
SAMN02419602	Secretion
SAMN02419604	Secretion
SAMN02419605	Secretion
SAMN02419606	Secretion
SAMN02419607	Secretion
SAMN02419608	Secretion
SAMN02419609	Secretion
SAMN02419610	Secretion
SAMN02419611	Secretion
SAMN02419612	Secretion
SAMN02419613	Secretion
SAMN02419614	Secretion
SAMN02419615	Secretion
SAMN02419616	Secretion
SAMN02419617	Secretion
SAMN02419618	Secretion
SAMN02419620	Secretion
SAMN02419621	Secretion
SAMN02419622	Secretion
SAMN02419624	Secretion
SAMN02419625	Secretion
SAMN02419626	Secretion
SAMN02419627	Secretion
SAMN02419628	Secretion
SAMN02419629	Secretion
SAMN02419630	Secretion
SAMN02419631	Secretion
SAMN02419632	Secretion
SAMN02419633	Secretion
SAMN02419634	Secretion
