BioSample	host_disease
SAMN05915280	Tuberculosis
SAMN05915281	Tuberculosis
SAMN05915282	Tuberculosis
SAMN05915283	Tuberculosis
SAMN05915284	Tuberculosis
SAMN05915285	Tuberculosis
SAMN05915286	Tuberculosis
SAMN05915287	Tuberculosis
SAMN05915288	Tuberculosis
SAMN05915289	Tuberculosis
SAMN05915290	Tuberculosis
SAMN05915291	Tuberculosis
SAMN05915292	Tuberculosis
SAMN05915293	Tuberculosis
SAMN05916217	Tuberculosis
SAMN05916218	Tuberculosis
SAMN05916219	Tuberculosis
SAMN05916220	Tuberculosis
SAMN05916221	Tuberculosis
SAMN05916222	Tuberculosis
SAMN05916223	Tuberculosis
SAMN05916224	Tuberculosis
SAMN05916225	Tuberculosis
SAMN05916226	Tuberculosis
SAMN05916227	Tuberculosis
SAMN05916228	Tuberculosis
SAMN05916229	Tuberculosis
SAMN05916230	Tuberculosis
SAMN05916231	Tuberculosis
SAMN05916232	Tuberculosis
SAMN05916233	Tuberculosis
SAMN05916234	Tuberculosis
SAMN05916235	Tuberculosis
SAMN05916236	Tuberculosis
SAMN05916237	Tuberculosis
SAMN05916238	Tuberculosis
SAMN05916239	Tuberculosis
SAMN05916240	Tuberculosis
SAMN05916241	Tuberculosis
SAMN05916242	Tuberculosis
SAMN05916243	Tuberculosis
SAMN05916244	Tuberculosis
SAMN05916245	Tuberculosis
SAMN05916246	Tuberculosis
SAMN05916247	Tuberculosis
SAMN05916248	Tuberculosis
SAMN05916249	Tuberculosis
SAMN05916250	Tuberculosis
SAMN05916251	Tuberculosis
SAMN05916252	Tuberculosis
SAMN05916253	Tuberculosis
SAMN05916254	Tuberculosis
SAMN05916255	Tuberculosis
SAMN05916256	Tuberculosis
SAMN05916257	Tuberculosis
SAMN05916258	Tuberculosis
SAMN05916259	Tuberculosis
SAMN05916260	Tuberculosis
SAMN05916261	Tuberculosis
SAMN05916262	Tuberculosis
SAMN05916263	Tuberculosis
SAMN05916264	Tuberculosis
SAMN05916265	Tuberculosis
SAMN05916266	Tuberculosis
SAMN05916267	Tuberculosis
SAMN05916268	Tuberculosis
SAMN05916269	Tuberculosis
SAMN05916270	Tuberculosis
SAMN05916271	Tuberculosis
SAMN05916272	Tuberculosis
SAMN05916273	Tuberculosis
SAMN05916274	Tuberculosis
SAMN05916275	Tuberculosis
SAMN05916276	Tuberculosis
SAMN05916277	Tuberculosis
SAMN05916278	Tuberculosis
SAMN05916279	Tuberculosis
SAMN05916280	Tuberculosis
SAMN05916281	Tuberculosis
SAMN05916282	Tuberculosis
SAMN05916283	Tuberculosis
SAMN05916284	Tuberculosis
SAMN05916285	Tuberculosis
SAMN05916286	Tuberculosis
SAMN05916287	Tuberculosis
SAMN05916288	Tuberculosis
SAMN05916289	Tuberculosis
SAMN05916290	Tuberculosis
SAMN05916291	Tuberculosis
SAMN05916292	Tuberculosis
SAMN05916293	Tuberculosis
SAMN05916294	Tuberculosis
SAMN05916295	Tuberculosis
SAMN05916296	Tuberculosis
SAMN05916297	Tuberculosis
SAMN05916298	Tuberculosis
SAMN05916299	Tuberculosis
SAMN05916300	Tuberculosis
SAMN05916301	Tuberculosis
SAMN05916302	Tuberculosis
SAMN05916303	Tuberculosis
SAMN05916304	Tuberculosis
SAMN05916305	Tuberculosis
SAMN05916306	Tuberculosis
SAMN05916307	Tuberculosis
