BioSample	host_disease
SAMN06010124	Tuberculosis
SAMN06010125	Tuberculosis
SAMN06010126	Tuberculosis
SAMN06010127	Tuberculosis
SAMN06010128	Tuberculosis
SAMN06010129	Tuberculosis
SAMN06010130	Tuberculosis
SAMN06010131	Tuberculosis
SAMN06010132	Tuberculosis
SAMN06010133	Tuberculosis
SAMN06010134	Tuberculosis
SAMN06010135	Tuberculosis
SAMN06010136	Tuberculosis
SAMN06010137	Tuberculosis
SAMN06010138	Tuberculosis
SAMN06010139	Tuberculosis
SAMN06010140	Tuberculosis
SAMN06010141	Tuberculosis
SAMN06010142	Tuberculosis
SAMN06010143	Tuberculosis
SAMN06010144	Tuberculosis
SAMN06010145	Tuberculosis
SAMN06010146	Tuberculosis
SAMN06010147	Tuberculosis
SAMN06010148	Tuberculosis
SAMN06010149	Tuberculosis
SAMN06010150	Tuberculosis
SAMN06010151	Tuberculosis
SAMN06010152	Tuberculosis
SAMN06010153	Tuberculosis
SAMN06010154	Tuberculosis
SAMN06010155	Tuberculosis
SAMN06010156	Tuberculosis
SAMN06010157	Tuberculosis
SAMN06010158	Tuberculosis
SAMN06010159	Tuberculosis
SAMN06010160	Tuberculosis
SAMN06010161	Tuberculosis
SAMN06010162	Tuberculosis
SAMN06010163	Tuberculosis
SAMN06010164	Tuberculosis
SAMN06010165	Tuberculosis
SAMN06010166	Tuberculosis
SAMN06010167	Tuberculosis
SAMN06010168	Tuberculosis
SAMN06010169	Tuberculosis
SAMN06010170	Tuberculosis
SAMN06010171	Tuberculosis
SAMN06010172	Tuberculosis
SAMN06010173	Tuberculosis
SAMN06010174	Tuberculosis
SAMN06010175	Tuberculosis
SAMN06010176	Tuberculosis
SAMN06010177	Tuberculosis
SAMN06010178	Tuberculosis
SAMN06010179	Tuberculosis
SAMN06010180	Tuberculosis
SAMN06010181	Tuberculosis
SAMN06010182	Tuberculosis
SAMN06010183	Tuberculosis
SAMN06010184	Tuberculosis
SAMN06010185	Tuberculosis
SAMN06010186	Tuberculosis
SAMN06010187	Tuberculosis
SAMN06010188	Tuberculosis
SAMN06010189	Tuberculosis
SAMN06010190	Tuberculosis
SAMN06010191	Tuberculosis
SAMN06010192	Tuberculosis
SAMN06010193	Tuberculosis
SAMN06010194	Tuberculosis
SAMN06010195	Tuberculosis
SAMN06010196	Tuberculosis
SAMN06010197	Tuberculosis
SAMN06010198	Tuberculosis
SAMN06010199	Tuberculosis
SAMN06010200	Tuberculosis
SAMN06010201	Tuberculosis
SAMN06010202	Tuberculosis
SAMN06010203	Tuberculosis
SAMN06010204	Tuberculosis
SAMN06010205	Tuberculosis
SAMN06010206	Tuberculosis
SAMN06010207	Tuberculosis
SAMN06010208	Tuberculosis
SAMN06010209	Tuberculosis
SAMN06010210	Tuberculosis
SAMN06010211	Tuberculosis
SAMN06010212	Tuberculosis
SAMN06010213	Tuberculosis
SAMN06010214	Tuberculosis
SAMN06010215	Tuberculosis
SAMN06010216	Tuberculosis
SAMN06010217	Tuberculosis
SAMN06010218	Tuberculosis
SAMN06010219	Tuberculosis
SAMN06010220	Tuberculosis
SAMN06010221	Tuberculosis
SAMN06010222	Tuberculosis
SAMN06010223	Tuberculosis
SAMN06010224	Tuberculosis
SAMN06010225	Tuberculosis
SAMN06010226	Tuberculosis
SAMN06010227	Tuberculosis
SAMN06010228	Tuberculosis
SAMN06010229	Tuberculosis
SAMN06010230	Tuberculosis
SAMN06010231	Tuberculosis
SAMN06010232	Tuberculosis
SAMN06010233	Tuberculosis
SAMN06010234	Tuberculosis
SAMN06010235	Tuberculosis
SAMN06010236	Tuberculosis
SAMN06010237	Tuberculosis
SAMN06010238	Tuberculosis
SAMN06010239	Tuberculosis
SAMN06010240	Tuberculosis
SAMN06010241	Tuberculosis
SAMN06010242	Tuberculosis
SAMN06010243	Tuberculosis
SAMN06010244	Tuberculosis
SAMN06010245	Tuberculosis
SAMN06010246	Tuberculosis
SAMN06010247	Tuberculosis
SAMN06010248	Tuberculosis
SAMN06010249	Tuberculosis
SAMN06010250	Tuberculosis
SAMN06010251	Tuberculosis
SAMN06010252	Tuberculosis
SAMN06010253	Tuberculosis
SAMN06010254	Tuberculosis
SAMN06010255	Tuberculosis
SAMN06010256	Tuberculosis
SAMN06010257	Tuberculosis
SAMN06010319	Tuberculosis
SAMN06010320	Tuberculosis
SAMN06010321	Tuberculosis
SAMN06010322	Tuberculosis
SAMN06010323	Tuberculosis
SAMN06010324	Tuberculosis
SAMN06010325	Tuberculosis
SAMN06010326	Tuberculosis
SAMN06010327	Tuberculosis
SAMN06010328	Tuberculosis
SAMN06010329	Tuberculosis
SAMN06010330	Tuberculosis
SAMN06010331	Tuberculosis
SAMN06010332	Tuberculosis
SAMN06010333	Tuberculosis
SAMN06010334	Tuberculosis
SAMN06010335	Tuberculosis
SAMN06010336	Tuberculosis
SAMN06010337	Tuberculosis
SAMN06010338	Tuberculosis
SAMN06010339	Tuberculosis
SAMN06010340	Tuberculosis
SAMN06010341	Tuberculosis
SAMN06010342	Tuberculosis
SAMN06010343	Tuberculosis
SAMN06010344	Tuberculosis
SAMN06010345	Tuberculosis
SAMN06010346	Tuberculosis
SAMN06010347	Tuberculosis
SAMN06010348	Tuberculosis
SAMN06010349	Tuberculosis
SAMN06010350	Tuberculosis
SAMN06010351	Tuberculosis
SAMN06010352	Tuberculosis
SAMN06010353	Tuberculosis
SAMN06010354	Tuberculosis
SAMN06010355	Tuberculosis
SAMN06010356	Tuberculosis
SAMN06010357	Tuberculosis
SAMN06010358	Tuberculosis
SAMN06010359	Tuberculosis
SAMN06010360	Tuberculosis
SAMN06010361	Tuberculosis
SAMN06010362	Tuberculosis
SAMN06010363	Tuberculosis
SAMN06010364	Tuberculosis
SAMN06010365	Tuberculosis
SAMN06010366	Tuberculosis
SAMN06010367	Tuberculosis
SAMN06010368	Tuberculosis
SAMN06010369	Tuberculosis
SAMN06010370	Tuberculosis
SAMN06010371	Tuberculosis
SAMN06010372	Tuberculosis
SAMN06010373	Tuberculosis
SAMN06010374	Tuberculosis
SAMN06010375	Tuberculosis
SAMN06010376	Tuberculosis
SAMN06010377	Tuberculosis
SAMN06010378	Tuberculosis
SAMN06010379	Tuberculosis
SAMN06010380	Tuberculosis
SAMN06010381	Tuberculosis
SAMN06010382	Tuberculosis
SAMN06010383	Tuberculosis
SAMN06010384	Tuberculosis
SAMN06010385	Tuberculosis
SAMN06010386	Tuberculosis
SAMN06010387	Tuberculosis
SAMN06010388	Tuberculosis
SAMN06010389	Tuberculosis
SAMN06010390	Tuberculosis
SAMN06010391	Tuberculosis
SAMN06010392	Tuberculosis
SAMN06010393	Tuberculosis
SAMN06010394	Tuberculosis
SAMN06010395	Tuberculosis
SAMN06010396	Tuberculosis
SAMN06010397	Tuberculosis
SAMN06010398	Tuberculosis
SAMN06010399	Tuberculosis
SAMN06010400	Tuberculosis
SAMN06010401	Tuberculosis
SAMN06010402	Tuberculosis
SAMN06010403	Tuberculosis
SAMN06010404	Tuberculosis
SAMN06010405	Tuberculosis
SAMN06010406	Tuberculosis
SAMN06010407	Tuberculosis
SAMN06010408	Tuberculosis
SAMN06010409	Tuberculosis
SAMN06010410	Tuberculosis
SAMN06010411	Tuberculosis
SAMN06010412	Tuberculosis
SAMN06010413	Tuberculosis
SAMN06010414	Tuberculosis
SAMN06010415	Tuberculosis
SAMN06010416	Tuberculosis
SAMN06010417	Tuberculosis
SAMN06010418	Tuberculosis
SAMN06010419	Tuberculosis
SAMN06010420	Tuberculosis
SAMN06010421	Tuberculosis
SAMN06010422	Tuberculosis
SAMN06010423	Tuberculosis
SAMN06010424	Tuberculosis
SAMN06010425	Tuberculosis
SAMN06010426	Tuberculosis
SAMN06010427	Tuberculosis
SAMN06010428	Tuberculosis
SAMN06010429	Tuberculosis
SAMN06010430	Tuberculosis
SAMN06010431	Tuberculosis
SAMN06010432	Tuberculosis
SAMN06010433	Tuberculosis
SAMN06010434	Tuberculosis
SAMN06010435	Tuberculosis
SAMN06010436	Tuberculosis
SAMN06010437	Tuberculosis
SAMN06010438	Tuberculosis
SAMN06010439	Tuberculosis
SAMN06010440	Tuberculosis
SAMN06010441	Tuberculosis
SAMN06010442	Tuberculosis
SAMN06010443	Tuberculosis
SAMN06010444	Tuberculosis
SAMN06010445	Tuberculosis
SAMN06010446	Tuberculosis
SAMN06010447	Tuberculosis
SAMN06010448	Tuberculosis
SAMN06010449	Tuberculosis
SAMN06010450	Tuberculosis
SAMN06010451	Tuberculosis
SAMN06010452	Tuberculosis
SAMN06010453	Tuberculosis
SAMN06010454	Tuberculosis
SAMN06010455	Tuberculosis
SAMN06010456	Tuberculosis
SAMN06010457	Tuberculosis
SAMN06010458	Tuberculosis
SAMN06010459	Tuberculosis
SAMN06010460	Tuberculosis
SAMN06010461	Tuberculosis
SAMN06010462	Tuberculosis
SAMN06010463	Tuberculosis
SAMN06010464	Tuberculosis
SAMN06010465	Tuberculosis
SAMN06010466	Tuberculosis
SAMN06010467	Tuberculosis
SAMN06010468	Tuberculosis
SAMN06010469	Tuberculosis
SAMN06010470	Tuberculosis
SAMN06010471	Tuberculosis
SAMN06010472	Tuberculosis
SAMN06010473	Tuberculosis
SAMN06010474	Tuberculosis
SAMN06010475	Tuberculosis
SAMN06010476	Tuberculosis
SAMN06010477	Tuberculosis
SAMN06010478	Tuberculosis
SAMN06010479	Tuberculosis
SAMN06010480	Tuberculosis
SAMN06010481	Tuberculosis
SAMN06010482	Tuberculosis
SAMN06010483	Tuberculosis
SAMN06010484	Tuberculosis
SAMN06010485	Tuberculosis
SAMN06010486	Tuberculosis
SAMN06010487	Tuberculosis
SAMN06010488	Tuberculosis
SAMN06010489	Tuberculosis
SAMN06010490	Tuberculosis
SAMN06010491	Tuberculosis
SAMN06010492	Tuberculosis
SAMN06010493	Tuberculosis
SAMN06094068	Tuberculosis
SAMN06094069	Tuberculosis
SAMN06094070	Tuberculosis
SAMN06094071	Tuberculosis
SAMN06094072	Tuberculosis
SAMN06094073	Tuberculosis
SAMN06094074	Tuberculosis
SAMN06094075	Tuberculosis
SAMN06094076	Tuberculosis
SAMN06094077	Tuberculosis
SAMN06094078	Tuberculosis
SAMN06094079	Tuberculosis
SAMN06094080	Tuberculosis
SAMN06094081	Tuberculosis
SAMN06094082	Tuberculosis
SAMN06094083	Tuberculosis
SAMN06094084	Tuberculosis
SAMN06094085	Tuberculosis
SAMN06094086	Tuberculosis
SAMN06094087	Tuberculosis
SAMN06094088	Tuberculosis
SAMN06094089	Tuberculosis
SAMN06094090	Tuberculosis
SAMN06094091	Tuberculosis
SAMN06094092	Tuberculosis
SAMN06094093	Tuberculosis
SAMN06094094	Tuberculosis
SAMN06094095	Tuberculosis
SAMN06094096	Tuberculosis
SAMN06094097	Tuberculosis
SAMN06094098	Tuberculosis
SAMN06094099	Tuberculosis
SAMN06094100	Tuberculosis
SAMN06094101	Tuberculosis
SAMN06094102	Tuberculosis
SAMN06094103	Tuberculosis
SAMN06094104	Tuberculosis
SAMN06094105	Tuberculosis
SAMN06094106	Tuberculosis
SAMN06094107	Tuberculosis
SAMN06094108	Tuberculosis
SAMN06094109	Tuberculosis
SAMN06094110	Tuberculosis
SAMN06094111	Tuberculosis
SAMN06094112	Tuberculosis
SAMN06094113	Tuberculosis
SAMN06094114	Tuberculosis
SAMN06094115	Tuberculosis
SAMN06094116	Tuberculosis
SAMN06094117	Tuberculosis
SAMN06094118	Tuberculosis
SAMN06094119	Tuberculosis
SAMN06094120	Tuberculosis
SAMN06094121	Tuberculosis
SAMN06094122	Tuberculosis
SAMN06094128	Tuberculosis
SAMN06094129	Tuberculosis
SAMN06094130	Tuberculosis
SAMN06094131	Tuberculosis
SAMN06094132	Tuberculosis
SAMN06094133	Tuberculosis
SAMN06094134	Tuberculosis
SAMN06094135	Tuberculosis
SAMN06094136	Tuberculosis
SAMN06094137	Tuberculosis
SAMN06094138	Tuberculosis
SAMN06094139	Tuberculosis
SAMN06094140	Tuberculosis
SAMN06094141	Tuberculosis
SAMN06094142	Tuberculosis
SAMN06094143	Tuberculosis
SAMN06094144	Tuberculosis
SAMN06094145	Tuberculosis
SAMN06094146	Tuberculosis
SAMN06094147	Tuberculosis
SAMN06094148	Tuberculosis
SAMN06094149	Tuberculosis
SAMN06094150	Tuberculosis
SAMN06094151	Tuberculosis
SAMN06094152	Tuberculosis
SAMN06094153	Tuberculosis
SAMN06094154	Tuberculosis
SAMN06094155	Tuberculosis
SAMN06094156	Tuberculosis
SAMN06094157	Tuberculosis
SAMN06094158	Tuberculosis
SAMN06094159	Tuberculosis
SAMN06094160	Tuberculosis
SAMN06094161	Tuberculosis
SAMN06094162	Tuberculosis
SAMN06094163	Tuberculosis
SAMN06094164	Tuberculosis
SAMN06094165	Tuberculosis
SAMN06094166	Tuberculosis
SAMN06094167	Tuberculosis
SAMN06094168	Tuberculosis
SAMN06094169	Tuberculosis
SAMN06094170	Tuberculosis
SAMN06094171	Tuberculosis
SAMN06094172	Tuberculosis
SAMN06094173	Tuberculosis
SAMN06094174	Tuberculosis
SAMN06094175	Tuberculosis
SAMN06094176	Tuberculosis
SAMN06094177	Tuberculosis
SAMN06094178	Tuberculosis
SAMN06094179	Tuberculosis
SAMN06094180	Tuberculosis
SAMN06094181	Tuberculosis
SAMN06094182	Tuberculosis
SAMN06094183	Tuberculosis
SAMN06094184	Tuberculosis
SAMN06094185	Tuberculosis
SAMN06094186	Tuberculosis
SAMN06094187	Tuberculosis
SAMN06094188	Tuberculosis
SAMN06094189	Tuberculosis
SAMN06094190	Tuberculosis
SAMN06094191	Tuberculosis
SAMN06094192	Tuberculosis
SAMN06094193	Tuberculosis
SAMN06094194	Tuberculosis
SAMN06094195	Tuberculosis
SAMN06094196	Tuberculosis
SAMN06094197	Tuberculosis
SAMN06094198	Tuberculosis
SAMN06094199	Tuberculosis
SAMN06094200	Tuberculosis
SAMN06094201	Tuberculosis
SAMN06094202	Tuberculosis
SAMN06094203	Tuberculosis
SAMN06094204	Tuberculosis
SAMN06094205	Tuberculosis
SAMN06094206	Tuberculosis
SAMN06094207	Tuberculosis
SAMN06094208	Tuberculosis
SAMN06094209	Tuberculosis
SAMN06094210	Tuberculosis
SAMN06094211	Tuberculosis
SAMN06094212	Tuberculosis
SAMN06094213	Tuberculosis
SAMN06094214	Tuberculosis
SAMN06094215	Tuberculosis
SAMN06094216	Tuberculosis
SAMN06094217	Tuberculosis
SAMN06094218	Tuberculosis
SAMN06094219	Tuberculosis
SAMN06094220	Tuberculosis
SAMN06094221	Tuberculosis
SAMN06094222	Tuberculosis
SAMN06094223	Tuberculosis
SAMN06094224	Tuberculosis
SAMN06094225	Tuberculosis
SAMN06141171	Tuberculosis
SAMN06169721	Tuberculosis
SAMN06169722	Tuberculosis
SAMN06189363	tuberculous pleurisy
SAMN06189364	bilateral cavernous pulmonary tuberculosis
SAMN06292065	Tuberculosis
SAMN06292067	Tuberculosis
SAMN06292590	Tuberculosis
SAMN06292592	homo sapiens
SAMN06462277	Pulmonary Tuberculosis
SAMN06462278	Tuberculosis
SAMN06462279	Tuberculosis
SAMN06462281	Tuberculosis
SAMN06563651	Tuberculosis
SAMN06563652	Tuberculosis
SAMN06563653	Tuberculosis
SAMN06563654	Tuberculosis
SAMN06563655	Tuberculosis
SAMN06563656	Tuberculosis
SAMN06563657	Tuberculosis
SAMN06563658	Tuberculosis
SAMN06563659	Tuberculosis
SAMN06563660	Tuberculosis
SAMN06624811	Tuberculosis
SAMN06624812	Tuberculosis
SAMN06624814	Tuberculosis
SAMN06624815	Tuberculosis
SAMN06627426	Bovine tuberculosis
SAMN06627448	Bovine tuberculosis
SAMN06627494	Bovine tuberculosis
SAMN06627497	Bovine tuberculosis
SAMN06627533	Bovine tuberculosis
SAMN06627600	Bovine tuberculosis
SAMN06627640	Bovine tuberculosis
SAMN06627641	Bovine tuberculosis
SAMN06627643	Bovine tuberculosis
SAMN06627645	Bovine tuberculosis
SAMN06627992	Bovine tuberculosis
SAMN06627993	Bovine tuberculosis
SAMN06627994	Bovine tuberculosis
SAMN06627995	Bovine tuberculosis
SAMN06627996	Bovine tuberculosis
SAMN06627997	Bovine tuberculosis
SAMN06628109	Bovine tuberculosis
SAMN06628110	Bovine tuberculosis
SAMN06628112	Bovine tuberculosis
SAMN06628113	Bovine tuberculosis
SAMN06628114	Bovine tuberculosis
SAMN06628115	Bovine tuberculosis
SAMN06697553	Bovine Tuberculosis
SAMN06697554	Bovine Tuberculosis
SAMN07236903	Tuberculosis
SAMN07236904	Tuberculosis
SAMN07236905	Tuberculosis
SAMN07236906	Tuberculosis
SAMN07236907	Tuberculosis
SAMN07236908	Tuberculosis
SAMN07236909	Tuberculosis
SAMN07236910	Tuberculosis
SAMN07236911	Tuberculosis
SAMN07414819	Tuberculosis
SAMN07414820	Tuberculosis
SAMN07570350	Tuberculosis
SAMN07570351	Tuberculosis
SAMN07664823	Tuberculosis
SAMN07664824	Tuberculosis
SAMN07664825	Tuberculosis
SAMN07664826	Tuberculosis
SAMN07664827	Tuberculosis
SAMN07664828	Tuberculosis
SAMN07664829	Tuberculosis
SAMN07664830	Tuberculosis
SAMN07664831	Tuberculosis
SAMN07664832	Tuberculosis
SAMN07664833	Tuberculosis
SAMN07664834	Tuberculosis
SAMN07664835	Tuberculosis
SAMN07664836	Tuberculosis
SAMN07664837	Tuberculosis
SAMN07664838	Tuberculosis
SAMN07664839	Tuberculosis
SAMN07664840	Tuberculosis
SAMN07664841	Tuberculosis
SAMN07664842	Tuberculosis
SAMN07664843	Tuberculosis
SAMN07664844	Tuberculosis
SAMN07664845	Tuberculosis
SAMN07664846	Tuberculosis
SAMN07664847	Tuberculosis
SAMN07664848	Tuberculosis
SAMN07664849	Tuberculosis
SAMN07664850	Tuberculosis
SAMN07664851	Tuberculosis
SAMN07664852	Tuberculosis
SAMN07664853	Tuberculosis
SAMN07664854	Tuberculosis
SAMN07664855	Tuberculosis
SAMN07664856	Tuberculosis
SAMN07664857	Tuberculosis
SAMN07664858	Tuberculosis
SAMN07664859	Tuberculosis
SAMN07664860	Tuberculosis
SAMN07664861	Tuberculosis
SAMN07664862	Tuberculosis
SAMN07664863	Tuberculosis
SAMN07664864	Tuberculosis
SAMN07664865	Tuberculosis
SAMN07664866	Tuberculosis
SAMN07664867	Tuberculosis
SAMN07664868	Tuberculosis
SAMN07664869	Tuberculosis
SAMN07664870	Tuberculosis
SAMN07664871	Tuberculosis
SAMN07664872	Tuberculosis
SAMN07664873	Tuberculosis
SAMN07664874	Tuberculosis
SAMN07664875	Tuberculosis
SAMN07664876	Tuberculosis
SAMN07664877	Tuberculosis
SAMN07664878	Tuberculosis
SAMN07664879	Tuberculosis
SAMN07664880	Tuberculosis
SAMN07664881	Tuberculosis
SAMN07664882	Tuberculosis
SAMN07664883	Tuberculosis
SAMN07664884	Tuberculosis
SAMN07664885	Tuberculosis
SAMN07664886	Tuberculosis
SAMN07664887	Tuberculosis
SAMN07664888	Tuberculosis
SAMN07664889	Tuberculosis
SAMN07664890	Tuberculosis
SAMN07701721	Tuberculosis
SAMN07701799	Tuberculosis
SAMN08095524	Tuberculosis
SAMN08095528	Tuberculosis
SAMN08095537	Tuberculosis
SAMN08095541	Tuberculosis
SAMN08095555	Tuberculosis
SAMN08095578	Tuberculosis
SAMN08199254	Tuberculosis
SAMN08199260	Tuberculosis
SAMN08199265	Tuberculosis
SAMN08199266	Tuberculosis
SAMN08199267	Tuberculosis
SAMN08199268	Tuberculosis
SAMN08199271	Tuberculosis
SAMN08199276	Tuberculosis
SAMN08199277	Tuberculosis
SAMN08199301	Tuberculosis
SAMN08199302	Tuberculosis
SAMN08199303	Tuberculosis
SAMN08199305	Tuberculosis
SAMN08199306	Tuberculosis
SAMN08199347	Tuberculosis
SAMN08199348	Tuberculosis
SAMN08321029	Bovine tuberculosis
SAMN08321034	Bovine tuberculosis
SAMN08321035	Bovine tuberculosis
SAMN08321046	Bovine tuberculosis
SAMN08321055	Bovine tuberculosis
SAMN08386658	Tuberculosis
SAMN08432322	Tuberculosis
SAMN08432487	Tuberculosis
SAMN08432953	Tuberculosis
SAMN08432968	Tuberculosis
SAMN08432974	Tuberculosis
SAMN08432975	Tuberculosis
SAMN08432976	Tuberculosis
SAMN08432978	Tuberculosis
SAMN08432985	Tuberculosis
SAMN08436883	Tuberculosis
SAMN08436884	Tuberculosis
SAMN08437144	Tuberculosis
SAMN08437161	Tuberculosis
SAMN08437162	Tuberculosis
SAMN08437188	Tuberculosis
SAMN08437228	Tuberculosis
SAMN08437989	Tuberculosis
SAMN08437990	Tuberculosis
SAMN08438036	Tuberculosis
SAMN08462824	Tuberculosis
SAMN08765497	Tuberculosis
SAMN08794918	Tuberculosis
SAMN08973501	Tuberculosis Meningitis
SAMN09206576	Bovine Tuberculosis
SAMN09206577	Bovine Tuberculosis
SAMN09206578	Bovine Tuberculosis
SAMN09206579	Bovine Tuberculosis
SAMN09206580	Bovine Tuberculosis
SAMN09206581	Bovine Tuberculosis
SAMN09206582	Bovine Tuberculosis
SAMN09206583	Bovine Tuberculosis
SAMN09206584	Bovine Tuberculosis
SAMN09229031	Tuberculosis
SAMN09229032	Tuberculosis
SAMN09453176	Tuberculosis
SAMN09477757	Tuberculosis
SAMN09566388	Tuberculosis
SAMN09566389	Tuberculosis
SAMN09566390	Tuberculosis
SAMN09566391	Tuberculosis
SAMN09566392	Tuberculosis
SAMN09566393	Tuberculosis
SAMN09566394	Tuberculosis
SAMN09566395	Tuberculosis
SAMN09566396	Tuberculosis
SAMN09566397	Tuberculosis
SAMN09566398	Tuberculosis
SAMN09566399	Tuberculosis
SAMN09566400	Tuberculosis
SAMN09566403	Tuberculosis
SAMN09566405	Tuberculosis
SAMN09566406	Tuberculosis
SAMN09566408	Tuberculosis
SAMN09566409	Tuberculosis
SAMN09566410	Tuberculosis
SAMN09566411	Tuberculosis
SAMN09566414	Tuberculosis
SAMN09566415	Tuberculosis
SAMN09566416	Tuberculosis
SAMN09566417	Tuberculosis
SAMN09566418	Tuberculosis
SAMN09566419	Tuberculosis
SAMN09566420	Tuberculosis
SAMN09566421	Tuberculosis
SAMN09566422	Tuberculosis
SAMN09566423	Tuberculosis
SAMN09566424	Tuberculosis
SAMN09566425	Tuberculosis
SAMN09566426	Tuberculosis
SAMN09566427	Tuberculosis
SAMN09566428	Tuberculosis
SAMN09566429	Tuberculosis
SAMN09566430	Tuberculosis
SAMN09566431	Tuberculosis
SAMN09566432	Tuberculosis
SAMN09566433	Tuberculosis
SAMN09566434	Tuberculosis
SAMN09566435	Tuberculosis
SAMN09566436	Tuberculosis
SAMN09566437	Tuberculosis
SAMN09566438	Tuberculosis
SAMN09566439	Tuberculosis
SAMN09566440	Tuberculosis
SAMN09566441	Tuberculosis
SAMN09566442	Tuberculosis
SAMN09566443	Tuberculosis
SAMN09566444	Tuberculosis
SAMN09566445	Tuberculosis
SAMN09566446	Tuberculosis
SAMN09566447	Tuberculosis
SAMN09566448	Tuberculosis
SAMN09566449	Tuberculosis
SAMN09566450	Tuberculosis
SAMN09566451	Tuberculosis
SAMN09566452	Tuberculosis
SAMN09566453	Tuberculosis
SAMN09566454	Tuberculosis
SAMN09566455	Tuberculosis
SAMN09566456	Tuberculosis
SAMN09566457	Tuberculosis
SAMN09566458	Tuberculosis
SAMN09566459	Tuberculosis
SAMN09566460	Tuberculosis
SAMN09566461	Tuberculosis
SAMN09566463	Tuberculosis
SAMN09566464	Tuberculosis
SAMN09566465	Tuberculosis
SAMN09566466	Tuberculosis
SAMN09566467	Tuberculosis
SAMN09566468	Tuberculosis
SAMN09566469	Tuberculosis
SAMN09566470	Tuberculosis
SAMN09566471	Tuberculosis
SAMN09566472	Tuberculosis
SAMN09566473	Tuberculosis
SAMN09566474	Tuberculosis
SAMN09566475	Tuberculosis
SAMN09566476	Tuberculosis
SAMN09566477	Tuberculosis
SAMN09566478	Tuberculosis
SAMN09566479	Tuberculosis
SAMN09566480	Tuberculosis
SAMN09566481	Tuberculosis
SAMN09566482	Tuberculosis
SAMN09566483	Tuberculosis
SAMN09566484	Tuberculosis
SAMN09566485	Tuberculosis
SAMN09566486	Tuberculosis
SAMN09566488	Tuberculosis
SAMN09566489	Tuberculosis
SAMN09566490	Tuberculosis
SAMN09566491	Tuberculosis
SAMN09566492	Tuberculosis
SAMN09566493	Tuberculosis
SAMN09566494	Tuberculosis
SAMN09566495	Tuberculosis
SAMN09566496	Tuberculosis
SAMN09566497	Tuberculosis
SAMN09566498	Tuberculosis
SAMN09566499	Tuberculosis
SAMN09566500	Tuberculosis
SAMN09566501	Tuberculosis
SAMN09566502	Tuberculosis
SAMN09566503	Tuberculosis
SAMN09566504	Tuberculosis
SAMN09566505	Tuberculosis
SAMN09566506	Tuberculosis
SAMN09566507	Tuberculosis
SAMN09566508	Tuberculosis
SAMN09566509	Tuberculosis
SAMN09566510	Tuberculosis
SAMN09566511	Tuberculosis
SAMN09566512	Tuberculosis
SAMN09566513	Tuberculosis
SAMN09566514	Tuberculosis
SAMN09566515	Tuberculosis
SAMN09566516	Tuberculosis
SAMN09566517	Tuberculosis
SAMN09566518	Tuberculosis
SAMN09566519	Tuberculosis
SAMN09566520	Tuberculosis
SAMN09566521	Tuberculosis
SAMN09566522	Tuberculosis
SAMN09566523	Tuberculosis
SAMN09566524	Tuberculosis
SAMN09566525	Tuberculosis
SAMN09566526	Tuberculosis
SAMN09566527	Tuberculosis
SAMN09566528	Tuberculosis
SAMN09566529	Tuberculosis
SAMN09566530	Tuberculosis
SAMN09566531	Tuberculosis
SAMN09566532	Tuberculosis
SAMN09566533	Tuberculosis
SAMN09566534	Tuberculosis
SAMN09566535	Tuberculosis
SAMN09566536	Tuberculosis
SAMN09566537	Tuberculosis
SAMN09566538	Tuberculosis
SAMN09566539	Tuberculosis
SAMN09566540	Tuberculosis
SAMN09566541	Tuberculosis
SAMN09566542	Tuberculosis
SAMN09566543	Tuberculosis
SAMN09566544	Tuberculosis
SAMN09566545	Tuberculosis
SAMN09566546	Tuberculosis
SAMN09566547	Tuberculosis
SAMN09566548	Tuberculosis
SAMN09566549	Tuberculosis
SAMN09566550	Tuberculosis
SAMN09566551	Tuberculosis
SAMN09566552	Tuberculosis
SAMN09566553	Tuberculosis
SAMN09566554	Tuberculosis
SAMN09566555	Tuberculosis
SAMN09566556	Tuberculosis
SAMN09566557	Tuberculosis
SAMN09566558	Tuberculosis
SAMN09566559	Tuberculosis
SAMN09566560	Tuberculosis
SAMN09566561	Tuberculosis
SAMN09566562	Tuberculosis
SAMN09566563	Tuberculosis
SAMN09566564	Tuberculosis
SAMN09566565	Tuberculosis
SAMN09566566	Tuberculosis
SAMN09566567	Tuberculosis
SAMN09566568	Tuberculosis
SAMN09566569	Tuberculosis
SAMN09566570	Tuberculosis
SAMN09566571	Tuberculosis
SAMN09566572	Tuberculosis
SAMN09566573	Tuberculosis
SAMN09566574	Tuberculosis
SAMN09566575	Tuberculosis
SAMN09566576	Tuberculosis
SAMN09566577	Tuberculosis
SAMN09566578	Tuberculosis
SAMN09566579	Tuberculosis
SAMN09566580	Tuberculosis
SAMN09566581	Tuberculosis
SAMN09566582	Tuberculosis
SAMN09566583	Tuberculosis
SAMN09566584	Tuberculosis
SAMN09566585	Tuberculosis
SAMN09566586	Tuberculosis
SAMN09566587	Tuberculosis
SAMN09566588	Tuberculosis
SAMN09566589	Tuberculosis
SAMN09566590	Tuberculosis
SAMN09566591	Tuberculosis
SAMN09566592	Tuberculosis
SAMN09566593	Tuberculosis
SAMN09566594	Tuberculosis
SAMN09566595	Tuberculosis
SAMN09566596	Tuberculosis
SAMN09566597	Tuberculosis
SAMN09566598	Tuberculosis
SAMN09566599	Tuberculosis
SAMN09566600	Tuberculosis
