BioSample	collection_date
SAMEA1706706	1998-03
SAMEA1706708	2003-07
SAMEA1706709	1998-03
SAMEA1707113	2008
SAMEA1707114	2010
SAMEA1707116	2009
SAMEA1707117	2010
SAMEA1707118	2008
SAMEA1707120	2008
SAMEA1707121	2010
SAMEA1707124	2009
SAMEA1707125	2010
SAMEA1707126	2009
SAMEA1707128	2010
SAMEA1707130	2010
SAMEA1707132	2008
SAMEA1707134	2010
SAMEA1707135	2010
SAMEA1707137	2010
SAMEA1707139	2008
SAMEA1707141	2010
SAMEA1707142	2010
SAMEA1707144	2008
SAMEA1707145	2008
SAMEA1707146	2010
SAMEA1707147	2010
SAMEA1707148	2010
SAMEA1707149	2010
SAMEA1707150	2010
SAMEA1707151	2010
SAMEA1707152	2008
SAMEA1707153	2010
SAMEA1707154	2010
SAMEA1707156	2010
SAMEA1707157	2008
SAMEA1707159	2010
SAMEA1707160	2010
SAMEA1707162	2010
SAMEA1707163	2010
SAMEA1707164	2009
SAMEA1707165	2008
SAMEA1707166	2008
SAMEA1707167	2008
SAMEA1707169	2010
SAMEA1707170	2010
SAMEA1707171	2009
SAMEA1707175	2010
SAMEA1707176	2008
SAMEA1707179	2010
SAMEA1707180	2009
SAMEA1707182	2010
SAMEA1707183	2010
SAMEA1707184	2009
SAMEA1707185	2010
SAMEA1707186	2008
SAMEA1707187	2010
SAMEA1707188	2009
SAMEA1707189	2008
SAMEA1707191	2008
SAMEA1707192	2010
SAMEA1707194	2010
SAMEA1707196	2009
SAMEA1707197	2008
SAMEA1707198	2008
SAMEA1707199	2010
SAMEA1707200	2010
SAMEA1707201	2010
SAMEA1707202	2009
SAMEA1707203	2010
SAMEA1707205	2008
SAMEA1707206	2010
SAMEA1707208	2010
SAMEA1707210	2010
SAMEA1707213	2010
SAMEA1707215	2010
SAMEA1707217	2010
SAMEA1707218	2010
SAMEA1707221	2010
SAMEA1707223	2010
SAMEA1707225	2010
SAMEA1707226	2009
SAMEA1707229	2010
SAMEA1707230	2010
SAMEA1707231	2009
SAMEA1707233	2010
SAMEA1707234	2010
SAMEA1707235	2010
SAMEA1707237	2010
SAMEA1707239	2010
SAMEA1707240	2010
SAMEA1707242	2008
SAMEA1707244	2010
SAMEA1707246	2010
SAMEA1707250	2010
SAMEA1707252	2010
SAMEA1707253	2010
SAMEA1707257	2009
SAMEA1707258	2010
SAMEA1707261	2010
SAMEA1707263	2010
SAMEA1707264	2010
SAMEA1707266	2009
SAMEA1707267	2010
SAMEA1707269	2010
SAMEA1707270	2010
SAMEA1707271	2010
SAMEA1707272	2010
SAMEA1707274	2010
SAMEA1707275	2010
SAMEA1707277	2010
SAMEA1707278	2010
SAMEA1707279	2010
SAMEA1707280	2010
SAMEA1707282	2010
SAMEA1707284	2009
SAMEA1707286	2008
SAMEA1707287	2008
SAMEA1707288	2010
SAMEA1707290	2009
SAMEA1707291	2010
SAMEA1707292	2010
SAMEA1707293	2010
SAMEA1707295	2010
SAMEA1707296	2009
SAMEA1707298	2008
SAMEA1707299	2010
SAMEA1707300	2009
SAMEA1707302	2010
SAMEA1707304	2010
SAMEA1707305	2010
SAMEA1707307	2010
SAMEA1707308	2008
SAMEA1707310	2010
SAMEA1707311	2010
SAMEA1707312	2010
SAMEA1707313	2010
SAMEA1707315	2008
SAMEA1707316	2010
SAMEA1707317	2010
SAMEA1707318	2008
SAMEA1707320	2008
SAMEA1707323	2010
SAMEA1707325	2009
SAMEA1707327	2010
SAMEA1707329	2010
SAMEA1707330	2010
SAMEA1707331	2008
SAMEA1707332	2008
SAMEA1707334	2010
SAMEA1707335	2010
SAMEA1707337	2010
SAMEA1707338	2010
SAMEA1707339	2009
SAMEA1707340	2008
SAMEA1707342	2010
SAMEA1707344	2010
SAMEA1707346	2009
SAMEA1707347	2009
SAMEA1707348	2008
SAMEA1707351	2010
SAMEA1707352	2010
SAMEA1707353	2010
SAMEA1707355	2009
SAMEA1707356	2008
SAMEA1707358	2008
SAMEA1707359	2008
SAMEA1707360	2010
SAMEA1707361	2010
SAMEA1707362	2008
SAMEA1707364	2009
SAMEA1707366	2010
SAMEA1707368	2008
SAMEA1707370	2010
SAMEA1707373	2010
SAMEA1707375	2008
SAMEA1707377	2010
SAMEA1707379	2009
SAMEA1707380	2010
SAMEA1707383	2010
SAMEA1707384	2008
SAMEA1707385	2009
SAMEA1707387	2009
SAMEA1707388	2008
SAMEA1707390	2008
SAMEA1707391	2010
SAMEA1707393	2010
SAMEA1707394	2008
SAMEA1707396	2009
SAMEA1707397	2010
SAMEA1707398	2010
SAMEA1707399	2010
SAMEA1707400	2008
SAMEA1707401	2009
SAMEA1707402	2010
SAMEA1707403	2010
SAMEA1707405	2010
SAMEA1707406	2010
SAMEA1707407	2010
SAMEA1707408	2010
SAMEA1707410	2009
SAMEA1707412	2009
SAMEA1707413	2010
SAMEA1707414	2010
SAMEA1707415	2010
SAMEA1707417	2010
SAMEA1707418	2010
SAMEA1707419	2008
SAMEA1707421	2010
SAMEA1707422	2010
SAMEA1707424	2008
SAMEA1707425	2010
SAMEA1707426	2010
SAMEA1707427	2010
SAMEA1707431	2008
SAMEA1707433	2010
SAMEA1707434	2010
SAMEA1707435	2010
SAMEA1707437	2010
SAMEA1707438	2010
SAMEA1707440	2010
SAMEA1707442	2010
SAMEA1707443	2009
SAMEA1707446	2010
SAMEA1707448	2010
SAMEA1707450	2010
SAMEA1707451	2010
SAMEA1707452	2010
SAMEA1707455	2010
SAMEA1707457	2009
SAMEA1707458	2010
SAMEA1707460	2010
SAMEA1707464	2010
SAMEA1707466	2010
SAMEA1707467	2010
SAMEA1707468	2010
SAMEA1707470	2010
SAMEA1707471	2010
SAMEA1707473	2010
SAMEA1707475	2010
SAMEA1707477	2010
SAMEA1707478	2010
SAMEA1707479	2010
SAMEA1707480	2010
SAMEA1707482	2010
SAMEA1707484	2010
SAMEA1707486	2010
SAMEA1707487	2010
SAMEA1707488	2010
SAMEA1707490	2010
SAMEA1707491	2010
SAMEA1707494	2008
SAMEA1707496	2010
SAMEA1707498	2010
SAMEA1707500	2010
SAMEA1707502	2008
SAMEA1707504	2010
SAMEA1707505	2010
SAMEA1707507	2010
SAMEA1707508	2010
SAMEA1707509	2009
SAMEA1707511	2009
SAMEA1707512	2010
SAMEA1707513	2010
SAMEA1707514	2010
SAMEA1707516	2010
SAMEA1707518	2008
SAMEA1707519	2010
SAMEA1707520	2010
SAMEA1707521	2009
SAMEA1707523	2010
SAMEA1707524	2010
SAMEA1707526	2010
SAMEA1707527	2010
SAMEA1707529	2010
SAMEA1707530	2010
SAMEA1707532	2009
SAMEA1707533	2008
SAMEA1707535	2010
SAMEA1707536	2010
SAMEA1707537	2009
SAMEA1707538	2009
SAMEA1707539	2010
SAMEA1707540	2010
SAMEA1707542	2009
SAMEA1707543	2008
SAMEA1707544	2010
SAMEA1707545	2008
SAMEA1707547	2009
SAMEA1707548	2010
SAMEA1707549	2010
SAMEA1707551	2008
SAMEA1707552	2010
SAMEA1707556	2010
SAMEA1707557	2008
SAMEA1707558	2009
SAMEA1707560	2010
SAMEA1707562	2008
SAMEA1707564	2009
SAMEA1707565	2009
SAMEA1707567	2008
SAMEA1707569	2008
SAMEA1707573	2008
SAMEA1707574	2008
SAMEA1707575	2010
SAMEA1707577	2010
SAMEA1707579	2010
SAMEA20450668	1997
SAMEA2682672	2008
SAMEA2682673	2009
SAMEA2682674	2008
SAMEA2682675	2009
SAMEA2682676	2009
SAMEA2682677	2009
SAMEA2682678	2009
SAMEA2682679	2009
SAMEA2682680	2009
SAMEA2682681	2009
SAMEA2682682	2009
SAMEA2682683	2009
SAMEA2682684	2008
SAMEA2682685	2009
SAMEA2682686	2009
SAMEA2682687	2008
SAMEA2682688	2009
SAMEA2682689	2009
SAMEA2682690	2009
SAMEA2682691	2008
SAMEA2682692	2009
SAMEA2682693	2008
SAMEA2682694	2008
SAMEA2682695	2009
SAMEA2682696	2009
SAMEA2682697	2009
SAMEA2682698	2009
SAMEA2682699	2008
SAMEA2682700	2009
SAMEA2682701	2009
SAMEA2682702	2009
SAMEA2682703	2008
SAMEA2682704	2009
SAMEA2682705	2009
SAMEA2682706	2009
SAMEA2682707	2009
SAMEA2682708	2008
SAMEA2682709	2008
SAMEA2682710	2008
SAMEA2682711	2008
SAMEA2682712	2008
SAMEA2682713	2009
SAMEA2682714	2009
SAMEA2682715	2009
SAMEA2682716	2008
SAMEA2682717	2009
SAMEA2682718	2009
SAMEA2682719	2008
SAMEA2682720	2008
SAMEA2682721	2009
SAMEA2682722	2009
SAMEA2682723	2009
SAMEA2682724	2009
SAMEA2682725	2009
SAMEA2682726	2008
SAMEA2682727	2009
SAMEA2682728	2009
SAMEA2682729	2009
SAMEA2682730	2009
SAMEA2682731	2009
SAMEA2682732	2009
SAMEA2682733	2009
SAMEA2682734	2009
SAMEA2682735	2009
SAMEA2682736	2009
SAMEA2682737	2009
SAMEA2682738	2009
SAMEA2682739	2009
SAMEA2682740	2009
SAMEA2682741	2009
SAMEA2682742	2009
SAMEA2682743	2009
SAMEA2682744	2009
SAMEA2682745	2009
SAMEA2682746	2009
SAMEA2682747	2009
SAMEA2682748	2009
SAMEA2682749	2009
SAMEA2682750	2009
SAMEA2682751	2009
SAMEA2682752	2009
SAMEA2682753	2009
SAMEA2682754	2009
SAMEA2682755	2009
SAMEA2682756	2009
SAMEA2682757	2009
SAMEA2682758	2009
SAMEA2682759	2009
SAMEA2682760	2009
SAMEA2682761	2009
SAMEA2682762	2009
SAMEA2682763	2009
SAMEA2682764	2009
SAMEA2682765	2009
SAMEA2682766	2009
SAMEA2682767	2009
SAMEA2682768	2009
SAMEA2682769	2009
SAMEA2682770	2009
SAMEA2682771	2009
SAMEA2682772	2009
SAMEA2682773	2009
SAMEA2682774	2009
SAMEA2682775	2009
SAMEA2682776	2009
SAMEA2682777	2009
SAMEA2682778	2009
SAMEA2682779	2009
SAMEA2682780	2009
SAMEA2682781	2009
SAMEA2682783	2009
SAMEA2682784	2009
SAMEA2682785	2009
SAMEA2682786	2009
SAMEA2682788	2009
SAMEA2682789	2009
SAMEA2682790	2009
SAMEA2682791	2009
SAMEA2682792	2009
SAMEA2682793	2009
SAMEA2682794	2009
SAMEA2682795	2009
SAMEA2682796	2009
SAMEA2682797	2009
SAMEA2682798	2009
SAMEA2682799	2009
SAMEA2682800	2009
SAMEA2682802	2009
SAMEA2682803	2009
SAMEA2682804	2009
SAMEA2682805	2009
SAMEA2682806	2009
SAMEA2682807	2009
SAMEA2682808	2009
SAMEA2682809	2009
SAMEA2682811	2009
SAMEA2682812	2009
SAMEA2682813	2009
SAMEA2682814	2009
SAMEA2682815	2009
SAMEA2682816	2009
SAMEA2682817	2009
SAMEA2682818	2009
SAMEA2682819	2009
SAMEA2682820	2009
SAMEA2682821	2009
SAMEA2682822	2009
SAMEA2682823	2009
SAMEA2682824	2009
SAMEA2682825	2009
SAMEA2682826	2009
SAMEA2682827	2009
SAMEA2682828	2009
SAMEA2682829	2009
SAMEA2682830	2009
SAMEA2682831	2009
SAMEA2682832	2009
SAMEA2682833	2009
SAMEA2682834	2009
SAMEA2682836	2009
SAMEA2682837	2009
SAMEA2682838	2009
SAMEA2682839	2009
SAMEA2682840	2009
SAMEA2682841	2009
SAMEA2682842	2009
SAMEA2682843	2009
SAMEA2682844	2009
SAMEA2682845	2009
SAMEA2682846	2009
SAMEA2682847	2009
SAMEA2682848	2009
SAMEA2682849	2009
SAMEA2682850	2009
SAMEA2682851	2009
SAMEA2682852	2009
SAMEA2682853	2009
SAMEA2682854	2009
SAMEA2682855	2009
SAMEA2682856	2009
SAMEA2682857	2009
SAMEA2682858	2010
SAMEA2682859	2009
SAMEA2682860	2010
SAMEA2682861	2009
SAMEA2682862	2010
SAMEA2682863	2009
SAMEA2682864	2009
SAMEA2682865	2009
SAMEA2682866	2009
SAMEA2682867	2009
SAMEA2682868	2009
SAMEA2682869	2009
SAMEA2682870	2009
SAMEA2682871	2009
SAMEA2682872	2009
SAMEA2682873	2009
SAMEA2682874	2009
SAMEA2682875	2009
SAMEA2682876	2009
SAMEA2682877	2010
SAMEA2682878	2010
SAMEA2682879	2009
SAMEA2682880	2009
SAMEA2682881	2009
SAMEA2682882	2009
SAMEA2682883	2010
SAMEA2682884	2009
SAMEA2682885	2009
SAMEA2682886	2009
SAMEA2682887	2009
SAMEA2682888	2010
SAMEA2682889	2009
SAMEA2682890	2010
SAMEA2682891	2009
SAMEA2682892	2010
SAMEA2682893	2010
SAMEA2682894	2010
SAMEA2682895	2010
SAMEA2682896	2010
SAMEA2682897	2009
SAMEA2682898	2010
SAMEA2682899	2009
SAMEA2682900	2009
SAMEA2682901	2010
SAMEA2682902	2009
SAMEA2682904	2009
SAMEA2682905	2010
SAMEA2682906	2010
SAMEA2682907	2010
SAMEA2682908	2010
SAMEA2682910	2009
SAMEA2682911	2010
SAMEA2682912	2010
SAMEA2682913	2009
SAMEA2682914	2010
SAMEA2682915	2009
SAMEA2682916	2009
SAMEA2682917	2009
SAMEA2682918	2010
SAMEA2682919	2009
SAMEA2682920	2010
SAMEA2682921	2009
SAMEA2682922	2010
SAMEA2682923	2010
SAMEA2682924	2010
SAMEA2682925	2009
SAMEA2682926	2009
SAMEA2682927	2009
SAMEA2682928	2009
SAMEA2682929	2009
SAMEA2682930	2009
SAMEA2682931	2009
SAMEA2682932	2010
SAMEA2682933	2009
SAMEA2682934	2009
SAMEA2682935	2009
SAMEA2682936	2009
SAMEA2682937	2009
SAMEA2682938	2009
SAMEA2682940	2009
SAMEA2682941	2009
SAMEA2682942	2009
SAMEA2682943	2009
SAMEA2682945	2009
SAMEA2682946	2009
SAMEA2682947	2009
SAMEA2682948	2009
SAMEA2682949	2009
SAMEA2682950	2009
SAMEA2682951	2009
SAMEA2682952	2009
SAMEA2682953	2009
SAMEA2682954	2009
SAMEA2682955	2009
SAMEA2682956	2009
SAMEA2682957	2009
SAMEA2682958	2009
SAMEA2682959	2009
SAMEA2682960	2009
SAMEA2682961	2009
SAMEA2682962	2010
SAMEA2682963	2011
SAMEA2682964	2011
SAMEA2682965	2011
SAMEA2682966	2010
SAMEA2682967	2011
SAMEA2682968	2011
SAMEA2682969	2011
SAMEA2682970	2009
SAMEA2682971	2010
SAMEA2682972	2010
SAMEA2682973	2010
SAMEA2682974	2009
SAMEA2682975	2010
SAMEA2682976	2011
SAMEA2682977	2011
SAMEA2682978	2009
SAMEA2682979	2011
SAMEA2682980	2011
SAMEA2682981	2011
SAMEA2682982	2011
SAMEA2682983	2011
SAMEA2682984	2011
SAMEA2682985	2011
SAMEA2682986	2011
SAMEA2682987	2011
SAMEA2682988	2011
SAMEA2682989	2011
SAMEA2682990	2011
SAMEA2682991	2011
SAMEA2682992	2011
SAMEA2682993	2011
SAMEA2682994	2011
SAMEA2682995	2011
SAMEA2682996	2011
SAMEA2682997	2011
SAMEA2682998	2011
SAMEA2683000	2011
SAMEA2683001	2011
SAMEA2683002	2011
SAMEA2683003	2011
SAMEA2683004	2011
SAMEA2683005	2011
SAMEA2683006	2011
SAMEA2683007	2007
SAMEA2683008	2011
SAMEA2683009	2011
SAMEA2683010	2011
SAMEA2683011	2011
SAMEA2683012	2011
SAMEA2683013	2011
SAMEA2683014	2011
SAMEA2683015	2011
SAMEA2683016	2011
SAMEA2683017	2011
SAMEA2683018	2011
SAMEA2683019	2011
SAMEA2683020	2011
SAMEA2683021	2011
SAMEA2683022	2011
SAMEA2683023	2011
SAMEA2683024	2011
SAMEA2683025	2011
SAMEA2683026	2011
SAMEA2683027	2006
SAMEA2683028	2011
SAMEA2683029	2011
SAMEA2683030	2007
SAMEA2683031	2010
SAMEA2683032	2011
SAMEA2683033	2011
SAMEA2683034	2011
SAMEA2683035	2011
SAMEA2683036	2011
SAMEA2683037	2011
SAMEA2683038	2011
SAMEA2683039	2011
SAMEA2683040	2011
SAMEA2683041	2011
SAMEA2683042	2010
SAMEA2683043	2010
SAMEA2683044	2011
SAMEA2683045	2011
SAMEA2683046	2011
SAMEA2683047	2011
SAMEA2683048	2011
SAMEA2683049	2011
SAMEA2683050	2011
SAMEA2683051	2011
SAMEA2683052	2011
SAMEA2683053	2011
SAMEA2683054	2011
SAMEA2683055	2011
SAMEA2683056	2011
SAMEA2683057	2011
SAMEA2683058	2011
SAMEA2683059	2011
SAMEA2683060	2011
SAMEA2683061	2011
SAMEA2683062	2011
SAMEA2683063	2011
SAMEA2683064	2011
SAMEA2683065	2011
SAMEA2683066	2011
SAMEA2683067	2011
SAMEA2683068	2011
SAMEA2683069	2011
SAMEA2683070	2011
SAMEA2683071	2011
SAMEA2683072	2011
SAMEA2683073	2011
SAMEA2683074	2011
SAMEA2683075	2011
SAMEA2683076	2011
SAMEA2683077	2011
SAMEA2683078	2011
SAMEA2683079	2010
SAMEA2683080	2011
SAMEA2683081	2011
SAMEA2683082	2011
SAMEA2683083	2011
SAMEA2683084	2012
SAMEA2683085	2012
SAMEA2683086	2012
SAMEA2683087	2011
SAMEA2683088	2011
SAMEA2683089	2012
SAMEA2683090	2008
SAMEA2683091	2011
SAMEA2683092	2007
SAMEA2683093	2012
SAMEA2683094	2011
SAMEA2683095	2011
SAMEA2683096	2011
SAMEA2683097	2012
SAMEA2683098	2012
SAMEA2683099	2012
SAMEA2683100	2011
SAMEA2683101	2011
SAMEA2683102	2011
SAMEA2683103	2011
SAMEA2683104	2012
SAMEA2683105	2012
SAMEA2683106	2012
SAMEA2683107	2011
SAMEA2683108	2012
SAMEA2683109	2011
SAMEA2683110	2012
SAMEA2683111	2012
SAMEA2683112	2012
SAMEA2683113	2012
SAMEA2683114	2012
SAMEA2683115	2012
SAMEA2683116	2012
SAMEA2683117	2012
SAMEA2683118	2012
SAMEA2683119	2012
SAMEA2683120	2012
SAMEA2683121	2012
SAMEA2683122	2012
SAMEA2683123	2012
SAMEA2683124	2012
SAMEA2683125	2012
SAMEA2683126	2012
SAMEA2683127	2012
SAMEA2683128	2012
SAMEA2683129	2012
SAMEA2683130	2012
SAMEA2683131	2012
SAMEA2683132	2012
SAMEA2683133	2012
SAMEA2683134	2012
SAMEA2683135	2012
SAMEA2683136	2012
SAMEA2683137	2012
SAMEA2683138	2012
SAMEA2683139	2012
SAMEA2683140	2011
SAMEA2683141	2011
SAMEA2683142	2011
SAMEA2683143	2009
SAMEA2683144	2012
SAMEA2683145	2012
SAMEA2683146	2012
SAMEA2683147	2012
SAMEA2683148	2012
SAMEA3539300	1972
SAMEA4358966	2015-12-29
SAMEA4554917	2016-04-16
SAMEA5208902	1963
SAMEA5208903	1963
SAMEA5208904	1999
SAMEA5803801	2014
SAMEA7336314	1930
SAMEA7336315	1930
SAMEA7336316	1988
SAMEA7336317	2000
SAMEA7336318	1999
SAMEA787702	2004-11-01
SAMEA787703	2005-02-01
SAMEA787704	2005-01-01
SAMEA787705	2003-10-01
SAMEA787706	2003-10-01
SAMEA787707	2005-05-01
SAMEA787708	2004-07-01
SAMEA787709	2003-10-01
SAMEA787710	2003-07-01
SAMEA787711	2003-07-01
SAMEA787712	2004-12-01
SAMEA787713	2004-04-01
SAMEA787714	2005-08-01
SAMEA787715	2005-07-01
SAMEA787716	2004-07-01
SAMEA787717	2004-08-01
SAMEA787718	2004-08-01
SAMEA787719	2004-08-01
SAMEA787720	2004-04-01
SAMEA787721	2003-11-01
SAMEA787722	2004-02-01
SAMEA787723	2004-01-01
SAMEA787724	2006-02-01
SAMEA787725	2006-11-01
SAMEA787726	2006-04-01
SAMEA787727	2006-01-01
SAMEA787728	2006-01-01
SAMEA787729	2005-09-01
SAMEA787730	2005-11-01
SAMEA787731	2004-09-01
SAMEA787732	2005-10-01
SAMEA787733	2004-05-01
SAMEA787734	2004-07-01
SAMEA787735	2004-04-01
SAMEA787736	2003-11-01
SAMEA787737	2004-04-01
SAMEA787738	2003-07-01
SAMEA787739	2004-11-01
SAMEA787740	2004-12-01
SAMEA787741	2004-12-01
SAMEA787742	2003-09-01
SAMEA787743	2003-10-01
SAMEA787744	2003-11-01
SAMEA787745	2004-04-01
SAMEA787746	2005-10-01
SAMEA787747	2004-04-01
SAMEA787748	2003-10-01
SAMEA787750	2003-11-01
SAMEA787752	2005-03-01
SAMEA787754	2004-12-01
SAMEA787756	2005-04-01
SAMEA961569	2008
SAMEA961570	2008
SAMEA961571	2007
SAMEA961572	2007
SAMEA961574	2007
SAMEA961575	2007
SAMEA961578	2005
SAMEA961579	1998
SAMEA961581	2008
SAMEA961582	2007
SAMEA961583	2007
SAMEA961584	2007
SAMEA961585	2004
SAMEA961586	2001
SAMEA961587	2000
SAMEA961588	2008
SAMEA961589	2007
SAMEA961590	2007
SAMEA961591	2004
SAMEA961592	2003
SAMEA961593	2002
SAMEA961594	2003
SAMEA961595	2007
SAMEA961596	2007
SAMEA961597	2006
SAMEA961598	2005
SAMEA961599	2007
SAMEA961600	2007
SAMEA961601	2006
SAMEA961602	2005
SAMEA961603	2003
SAMEA961604	2008
SAMEA961605	2005
SAMEA961606	2004
SAMEA961607	2002
SAMEA961608	2006
SAMEA961609	2007
SAMEA961610	2006
SAMEA961611	2007
SAMEA961612	2007
SAMEA961613	2008
SAMEA961614	2008
SAMEA961616	2008
SAMEA961617	2007
SAMEA961618	2007
SAMEA961619	2007
SAMEA961621	2006
SAMEA961622	2008
SAMEA961623	2008
SAMEA961624	2006
SAMEA961625	2006
SAMEA961626	2006
SAMEA961627	2006
SAMEA961628	2005
SAMEA961629	2006
SAMEA961630	2007
SAMEA961631	2007
SAMEA961632	2003
SAMEA961633	2007
SAMEA961634	2007
SAMEA961636	2006
SAMEA961637	2006
SAMEA961638	2006
SAMEA961639	2006
SAMEA961640	2000
SAMEA961641	2002
SAMEA961642	2007
SAMEA961643	2007
SAMEA961645	2008
SAMEA961646	2007
SAMEA961647	2004
SAMEA961648	2002
SAMEA961649	2006
SAMEA961650	2008
SAMEA961651	2005
SAMEA961652	2003
SAMEA961653	2004
SAMEA961654	2004
SAMEA961655	2008
SAMEA961656	2007
SAMEA961657	2008
SAMEA961658	2008
SAMEA961659	2008
SAMEA961660	2008
SAMEA961661	2006
SAMEA961662	2005
SAMEA961663	2006
SAMEA961664	2003
SAMEA961665	2003
SAMEA961666	2005
SAMEA961667	2006
SAMEA961668	2006
SAMEA961669	2006
SAMEA961670	2008
SAMEA961671	2008
SAMEA961672	2008
SAMEA961673	2008
SAMEA961674	2008
SAMEA961675	2007
SAMEA961676	2008
SAMEA961677	2008
SAMEA961678	2007
SAMEA961679	2007
SAMEA968074	2000-07
SAMEA968075	2003-04
SAMEA968076	2006-06
SAMEA968077	1997-12
SAMEA968078	1996-10
SAMEA968079	1992-07
SAMEA968080	1992-09
SAMEA968081	2008-03
SAMEA968082	1999-07
SAMEA968083	2004-04
SAMEA968084	1999-06
SAMEA968085	1992-09
SAMEA968086	2005-01
SAMEA968087	1996-09
SAMEA968088	2004-06
SAMEA968093	2000-08
SAMEA968094	1999-03
SAMEA968095	1998-03
SAMEA968098	2002-12
SAMEA968099	1994-09
SAMEA968100	1994-11
SAMEA968103	2001-12
SAMEA968104	1994-05
SAMEA968105	1998-10
SAMEA968106	1997-09
SAMEA968107	2005-06
SAMEA968108	1993-12
SAMEA968109	2008-05
SAMEA968110	1999-01
SAMEA968111	1998-05
SAMEA968112	2006-01
SAMEA968113	1999-01
SAMEA968114	1995-07
SAMEA968115	1997-06
SAMEA968116	1998-08
SAMEA968117	2005-11
SAMEA968118	2005
SAMEA968119	1998-03
SAMEA968120	2002-05
SAMEA968121	1998-06
SAMEA968122	1993-12
SAMEA968123	1999-01
SAMEA968124	1999-01
SAMEA968125	2005-11
SAMEA968127	2008-04
SAMEA968128	2005-09
SAMEA968129	1999-07
SAMEA968130	1999-11
SAMEA968131	2004-04
SAMEA968132	1999-03
SAMEA968133	2007-01
SAMEA968134	1996-03
SAMEA968135	1994-03
SAMEA968140	2003-10
SAMEA968141	1995-03
SAMEA968142	2002-04
SAMEA968143	2000-09
SAMEA968144	2007-11
SAMEA968145	2005-05
SAMEA968146	2004-06
SAMEA968147	2008-05
SAMEA968148	1999-02
SAMEA968149	1994-04
SAMEA968150	2001-12
SAMEA968151	1996-04
SAMEA968152	2005-04
SAMEA968153	1997-11
SAMEA968154	1994-03
SAMEA968155	2007-05
SAMEA968156	2007-05
SAMEA968157	2004-07
SAMEA968158	2004-02
SAMEA968159	1900/2013
SAMEA968161	1999-03
SAMEA968162	1994-05
SAMEA968163	2003-10
SAMEA968164	1999-05
SAMEA968169	2000-11
SAMEA968170	1999-09
SAMEA968171	1999-07
SAMEA968172	1999-06
SAMEA968173	2004-05
SAMEA968174	1993-10
SAMEA968175	1994-09
SAMEA968176	1994-01
SAMEA968177	1994-12
SAMEA968178	1999-04
SAMEA968179	2005-01
SAMEA968180	1999-04
SAMEA968181	1999-08
SAMEA968182	2002-04
SAMEA968184	2001-06
SAMEA968185	2000-06
SAMEA968188	2005-09
SAMEA968189	1999-02
SAMEA968190	1999-06
SAMEA968191	2002-08
SAMEA968192	1993-11
SAMEA968193	1999-09
SAMEA968194	1996-08
SAMEA968195	1997-03
SAMEA968196	1994-07
SAMEA968197	1995-02
SAMEA968198	2001-06
SAMEA968199	2004-07
SAMEA968200	1998-11
SAMEA968202	2002-03
SAMEA968203	2006-01
SAMEA968204	1995-02
SAMEA968205	2005-01
SAMEA968206	2002-08
SAMEA968207	2004-11
SAMEA968208	1998-03
SAMEA968209	2001-10
SAMEA968210	1996-06
SAMEA968211	1994-01
SAMEA968212	1999-01
SAMEA968213	1996-09
SAMEA968214	1999-02
SAMEA968215	2006-02
SAMEA968216	1997-07
SAMN01925614	2010-03-25
SAMN01925615	2010-03-25
SAMN01925617	2010-03-29
SAMN01925618	2010-04-07
SAMN01925619	2010-11-05
SAMN01925620	2010-04-12
SAMN01925621	2010-06-11
SAMN01925633	2010-06-28
SAMN01925634	2010-06-25
SAMN01925636	2010-07-08
SAMN01925638	2010-07-23
SAMN01925639	2010-11-05
SAMN01925640	2010-09-23
SAMN01925641	2010-11-15
SAMN01925645	2010-11-15
SAMN01925647	2010-11-15
SAMN01925650	2011-01-21
SAMN01925651	2011-01-21
SAMN01925652	2011-01-28
SAMN01925653	2011-02-04
SAMN01925654	2011-02-04
SAMN01925657	2011-02-25
SAMN01925658	2011-09-09
SAMN01925659	2011-09-09
SAMN01925660	2011-09-09
SAMN01925661	2011-06-14
SAMN01925663	2011-09-09
SAMN01925665	2011-12-22
SAMN01925666	2011-08-24
SAMN01925667	2011-12-22
SAMN01925668	2011-08-24
SAMN01925669	2011-12-22
SAMN01925670	2011-12-14
SAMN01925675	2011-12-14
SAMN01925676	2011-12-22
SAMN01925684	2011-12-14
SAMN01925685	2012-01-27
SAMN01925686	2011-12-22
SAMN01925689	2012-01-17
SAMN01925690	2012-01-17
SAMN01925691	2005-08-24
SAMN01925692	2006-08-18
SAMN01925693	2010-02-19
SAMN01925694	2007-09-19
SAMN01925695	2007-04-11
SAMN01925696	2007-03-16
SAMN01925697	2007-04-18
SAMN01925698	2007-04-02
SAMN01925699	2009-10-28
SAMN01925700	2009-10-14
SAMN01925701	2009-05-11
SAMN01925702	2009-02-24
SAMN02053741	2008-01-16
SAMN02053742	2008-01-22
SAMN02053743	2008-01-28
SAMN02053744	2008-02-06
SAMN02053745	2008-02-08
SAMN02053746	2008-02-15
SAMN02053747	2008-01-08
SAMN02053748	2008-02-19
SAMN02053749	2008-02-19
SAMN02053750	2008-02-20
SAMN02053751	2008-02-25
SAMN02053752	2008-02-26
SAMN02053753	2008-02-26
SAMN02053754	2008-02-21
SAMN02053755	2008-02-21
SAMN02053756	2008-03-10
SAMN02053757	2008-03-19
SAMN02053758	2008-04-02
SAMN02053759	2008-04-02
