BioSample	ENA first public	ENA last update	ENA-CHECKLIST	External Id	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	SRA_Run	SRA_SampID	Submitter Id	collection_date	geo_loc_name	host	isolation_source	sample_name	strain
SAMN02414971										SRR1165532	SRS553783		2012	Sweden	Homo sapiens	tissue		BTB12-054
SAMN02414972										SRR1166870	SRS553780		2012	Sweden	Homo sapiens	sputum		BTB12-094
SAMN02414975										SRR1167114	SRS553767		2012	Sweden	Homo sapiens	sputum		BTB12-211
SAMN02414976										SRR1166937	SRS553790		2012	Sweden	Homo sapiens	sputum		BTB12-294
SAMN02414977										SRR1163413	SRS553917		2012	Sweden	Homo sapiens	punctuat		BTB12-304
SAMN02414978										SRR1163041	SRS553856		2012	Sweden	Homo sapiens	sputum		BTB12-305
SAMN02414979										SRR1166915	SRS553768		2012	Sweden	Homo sapiens	sputum		BTB12-313
SAMN02414980										SRR1162843	SRS553779		2012	Sweden	Homo sapiens	abscess		BTB12-314
SAMN02414981										SRR1165419	SRS553793		2012	Sweden	Homo sapiens	na		BTB12-315
SAMN02414982										SRR1165478	SRS553764		2012	Sweden	Homo sapiens	abscess		BTB12-384
SAMN02414983										SRR1165453	SRS553796		2012	Sweden	Homo sapiens	sputum		BTB12-400
SAMN02414986										SRR1165500	SRS553787		2013	Sweden	Homo sapiens	tissue		BTB13-063
SAMN02414987										SRR1162754	SRS553742		2013	Sweden	Homo sapiens	sputum		BTB13-089
SAMN02414988										SRR1165568	SRS553743		2013	Sweden	Homo sapiens	sputum		BTB13-127
SAMN02414989										SRR1166938	SRS553725		2013	Sweden	Homo sapiens	sputum		BTB13-128
