BioSample	ENA first public	ENA last update	ENA-CHECKLIST	External Id	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	SRA_Run	SRA_SampID	Submitter Id	common name	sample_name
SAMEA104394436	2017-11-21	2017-11-21	ERC000011	SAMEA104394436	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:00Z	public	ERR2199814	ERS2012378	1215-10	Mycobacterium tuberculosis complex bacterium	1215-10
SAMEA104394461	2017-11-21	2017-11-21	ERC000011	SAMEA104394461	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:37:00Z	public	ERR2199844	ERS2012403	1840-13	Mycobacterium tuberculosis complex bacterium	1840-13
