BioSample	ENA first public	ENA last update	ENA-CHECKLIST	External Id	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	SRA_Run	SRA_SampID	Submitter Id	collection_date	geo_loc_name	host	isolation_source	sample_name	strain
SAMN02414938										SRR1167099	SRS553777		2010	Sweden	Homo sapiens	sputum		BTB10-277
SAMN02414939										SRR1162886	SRS553795		2010	Sweden	Homo sapiens	na		BTB10-295
SAMN02414941										SRR1166828	SRS553771		2010	Sweden	Homo sapiens	bronchial		BTB10-308
SAMN02414942										SRR1165572	SRS553708		2010	Sweden	Homo sapiens	BAL		BTB10-357
SAMN02414944										SRR1162708	SRS553713		2010	Sweden	Homo sapiens	sputum		BTB10-406
SAMN02414946										SRR1167087	SRS553794		2010	Sweden	Homo sapiens	sputum		BTB10-426
SAMN02414948										SRR1167058	SRS553786		2010	Sweden	Homo sapiens	punctuat		BTB10-487
SAMN02414950										SRR1166819	SRS553778		2010	Sweden	Homo sapiens	sputum		BTB11-027
SAMN02414952										SRR1165567	SRS553772		2011	Sweden	Homo sapiens	punctuat		BTB11-112
SAMN02414953										SRR1165529	SRS553763		2011	Sweden	Homo sapiens	punctuat		BTB11-133
SAMN02414954										SRR1166875	SRS553775		2011	Sweden	Homo sapiens	bronchial		BTB11-139
SAMN02414955										SRR1165515	SRS553985		2011	Sweden	Homo sapiens	cerebrospinal		BTB11-160
SAMN02414958										SRR1163419	SRS553987		2011	Sweden	Homo sapiens	sputum		BTB11-207
SAMN02414959										SRR1165504	SRS553788		2011	Sweden	Homo sapiens	punctuat		BTB11-210
SAMN02414960										SRR1165526	SRS553770		2011	Sweden	Homo sapiens	bronchial		BTB11-214
SAMN02414962										SRR1165432	SRS553933		2011	Sweden	Homo sapiens	sputum		BTB11-250
SAMN02414963										SRR1165516	SRS553773		2011	Sweden	Homo sapiens	sputum		BTB11-289
SAMN02414964										SRR1163483	SRS554004		2011	Sweden	Homo sapiens	VSK		BTB11-299
SAMN02414967										SRR1166869	SRS553765		2011	Sweden	Homo sapiens	sputum		BTB11-371
SAMN02414968										SRR1165394	SRS553867		2011	Sweden	Homo sapiens	gland		BTB12-001
SAMN02414970										SRR1162897	SRS553798		2011	Sweden	Homo sapiens	sputum		BTB12-046
SAMN02414971										SRR1162861	SRS553783		2012	Sweden	Homo sapiens	tissue		BTB12-054
SAMN02414972										SRR1162848	SRS553780		2012	Sweden	Homo sapiens	sputum		BTB12-094
SAMN02414975										SRR1162812	SRS553767		2012	Sweden	Homo sapiens	sputum		BTB12-211
SAMN02414976										SRR1162878	SRS553790		2012	Sweden	Homo sapiens	sputum		BTB12-294
SAMN02414977										SRR1163142	SRS553917		2012	Sweden	Homo sapiens	punctuat		BTB12-304
SAMN02414978										SRR1163004	SRS553856		2012	Sweden	Homo sapiens	sputum		BTB12-305
SAMN02414979										SRR1162815	SRS553768		2012	Sweden	Homo sapiens	sputum		BTB12-313
SAMN02414980										SRR1165595	SRS553779		2012	Sweden	Homo sapiens	abscess		BTB12-314
SAMN02414981										SRR1162880	SRS553793		2012	Sweden	Homo sapiens	na		BTB12-315
SAMN02414982										SRR1165558	SRS553764		2012	Sweden	Homo sapiens	abscess		BTB12-384
SAMN02414983										SRR1167073	SRS553796		2012	Sweden	Homo sapiens	sputum		BTB12-400
SAMN02414986										SRR1162959	SRS553787		2013	Sweden	Homo sapiens	tissue		BTB13-063
SAMN02414987										SRR1165481	SRS553742		2013	Sweden	Homo sapiens	sputum		BTB13-089
SAMN02414988										SRR1165507	SRS553743		2013	Sweden	Homo sapiens	sputum		BTB13-127
SAMN02414989										SRR1165586	SRS553725		2013	Sweden	Homo sapiens	sputum		BTB13-128
