BioSample	ENA first public	ENA last update	ENA-CHECKLIST	External Id	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	SRA_Run	SRA_SampID	Submitter Id	collection_date	common name	geo_loc_name	host	host_health_state	isolate	isolation_source	sample_name
SAMEA104172420	2017-09-17	2017-07-24	ERC000011	SAMEA104172420	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-09-17T17:02:20Z	2017-07-24T13:38:54Z	public	ERR2041715	ERS1831438	3924-12		Mycobacterium tuberculosis complex bacterium						3924-12
SAMEA104172422	2017-09-17	2017-07-24	ERC000011	SAMEA104172422	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-09-17T17:02:20Z	2017-07-24T13:38:54Z	public	ERR2041799	ERS1831440	9940-13		Mycobacterium tuberculosis complex bacterium						9940-13
SAMEA104172459	2017-09-17	2017-07-24	ERC000011	SAMEA104172459	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-09-17T17:02:20Z	2017-07-24T13:38:54Z	public	ERR2041790	ERS1831477	9934-13		Mycobacterium tuberculosis complex bacterium						9934-13
SAMEA104172469	2017-09-17	2017-07-24	ERC000011	SAMEA104172469	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-09-17T17:02:20Z	2017-07-24T13:38:55Z	public	ERR2041701	ERS1831487	3914-12		Mycobacterium tuberculosis complex bacterium						3914-12
SAMEA104394386	2017-11-21	2017-11-21	ERC000011	SAMEA104394386	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:36:59Z	public	ERR2199740	ERS2012328	1000-15		Mycobacterium tuberculosis complex bacterium						1000-15
SAMEA104394393	2017-11-21	2017-11-21	ERC000011	SAMEA104394393	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:36:59Z	public	ERR2199752	ERS2012335	10169-14		Mycobacterium tuberculosis complex bacterium						10169-14
SAMEA104394395	2017-11-21	2017-11-21	ERC000011	SAMEA104394395	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:36:59Z	public	ERR2199755	ERS2012337	10221-14		Mycobacterium tuberculosis complex bacterium						10221-14
SAMEA104394396	2017-11-21	2017-11-21	ERC000011	SAMEA104394396	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:36:59Z	public	ERR2199760	ERS2012338	1032-15		Mycobacterium tuberculosis complex bacterium						1032-15
SAMEA104394397	2017-11-21	2017-11-21	ERC000011	SAMEA104394397	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:36:59Z	public	ERR2199762	ERS2012339	10393-14		Mycobacterium tuberculosis complex bacterium						10393-14
SAMEA104394398	2017-11-21	2017-11-21	ERC000011	SAMEA104394398	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:36:59Z	public	ERR2199764	ERS2012340	10424-13		Mycobacterium tuberculosis complex bacterium						10424-13
SAMEA104394404	2017-11-21	2017-11-21	ERC000011	SAMEA104394404	FZB	FORSCHUNGSZENTRUM BORSTEL	2017-11-21T17:03:46Z	2017-11-21T14:36:59Z	public	ERR2199774	ERS2012346	1060-10		Mycobacterium tuberculosis complex bacterium						1060-10
